"V1","V3","V4","Class"
3.6216,-2.8073,-0.44699,1
4.5459,-2.4586,-1.4621,1
3.866,1.9242,0.10645,1
3.4566,-4.0112,-3.5944,1
0.32924,4.5718,-0.9888,1
4.3684,-3.9606,-3.1625,1
3.5912,0.72888,0.56421,1
2.0922,8.4636,-0.60216,1
3.2032,-0.75345,-0.61251,1
1.5356,-2.2718,-0.73535,1
1.2247,-2.2135,-0.80647,1
3.9899,2.3946,0.86291,1
1.8993,0.15394,-3.1108,1
-1.5768,2.5462,-2.9362,1
3.404,-2.9915,-0.57242,1
4.6765,3.4896,1.4771,1
2.6719,0.37158,0.58619,1
0.80355,4.3439,0.6017,1
1.4479,8.3428,-2.1086,1
5.2423,-4.353,-4.1013,1
5.7867,-2.6196,-0.48708,1
0.3292,4.5718,-0.9888,1
3.9362,-3.8235,-4.0172,1
0.93584,-1.6831,-1.6599,1
4.4338,-4.6795,-3.7483,1
0.7057,8.3368,-2.8715,1
1.1432,5.5777,-0.63578,1
-0.38214,2.1624,-3.7405,1
6.5633,-4.4113,-3.2258,1
4.8906,3.4202,1.0905,1
-0.24811,4.9068,0.15429,1
1.4884,3.308,0.48921,1
4.2969,-2.3874,-0.96164,1
-0.96511,1.7305,-4.8629,1
-1.6162,8.1628,0.60817,1
2.4391,-0.80743,-0.69139,1
2.6881,-0.46641,-0.69268,1
3.6289,1.6277,0.77627,1
4.5679,-2.1055,0.29653,1
3.4805,-3.7541,-3.4379,1
4.1711,-3.0224,-0.59699,1
-0.2062,-3.7044,-6.8103,1
-0.006892,-0.41243,-1.9638,1
0.96441,2.3235,0.066365,1
2.8561,-0.79372,0.48403,1
-0.7869,-3.7867,-7.5034,1
2.0843,0.48382,-2.2134,1
-0.7869,-3.7867,-7.5034,1
3.9102,-2.4534,-0.68234,1
1.6349,2.8753,0.087054,1
4.3239,3.4356,-0.5776,1
5.262,-1.5572,1.0103,1
3.1452,-0.51439,-1.4944,1
2.549,-1.1605,-1.2371,1
4.9264,-2.4774,-0.50648,1
4.8265,1.6371,1.1875,1
2.5635,-0.61979,0.38576,1
5.807,-2.2384,0.43878,1
3.1377,4.5701,0.98963,1
-0.78289,-0.37644,-7.0495,1
2.888,4.5907,-0.24398,1
0.49665,1.7785,-0.47156,1
4.2586,-4.0943,-4.3457,1
1.7939,1.5454,-0.26079,1
5.4021,-1.1536,1.5651,1
2.5367,2.0938,0.20085,1
4.6054,2.7587,0.31981,1
2.4235,-3.0789,-2.7746,1
1.0009,-0.28219,-2.6608,1
0.12326,-0.9351,-2.4332,1
3.9529,2.3792,0.48274,1
4.1373,1.093,1.8276,1
4.7181,-3.9486,-3.8582,1
4.1654,3.643,1.0879,1
4.4069,-4.5775,-4.4271,1
2.3066,0.57551,0.41938,1
3.7935,-2.5477,-1.872,1
0.049175,1.7828,-0.72113,1
0.24835,0.9885,-0.87371,1
1.1317,3.3979,0.84351,1
2.8033,-3.3668,-1.0224,1
4.4682,0.95766,0.83058,1
5.0185,-2.9375,-1.281,1
1.8664,-0.23849,-2.9634,1
3.245,-0.63435,0.86937,1
4.0296,0.80685,0.71679,1
-1.1313,7.5339,1.022,1
0.87603,0.84198,-0.17156,1
4.1197,2.0707,0.67412,1
3.8027,2.1041,1.0245,1
1.4806,-2.7876,-1.0341,1
4.0632,0.72545,0.39481,1
4.3064,-2.7824,-1.4336,1
2.4486,7.9632,0.20602,1
3.2718,2.1161,0.61334,1
-0.64472,8.347,-2.7099,1
2.9543,0.64577,0.89394,1
2.1616,8.1517,-0.081048,1
3.82,-4.0112,-5.0284,1
-2.7419,2.5394,-5.5793,1
3.3669,3.6935,-1.1427,1
4.5597,2.6413,1.6168,1
5.1129,0.62863,1.1189,1
3.3397,3.9823,-0.23751,1
4.2027,0.96108,0.97282,1
3.5438,1.997,2.1547,1
2.3136,-3.5288,-4.7672,1
-1.8584,-1.6643,-1.8384,1
3.106,-4.2536,-4.003,1
2.9163,-3.3437,-4.122,1
3.9922,3.7304,-0.1095,1
1.518,0.094818,-0.026738,1
3.2351,-3.2074,-2.5948,1
4.2188,-1.2804,0.76076,1
1.7819,-1.2744,-1.5759,1
2.5331,-0.822,-0.12243,1
3.8969,-1.8245,0.14007,1
2.108,-0.1708,0.4905,1
2.8969,2.29,1.8663,1
0.9297,4.6429,-0.2957,1
3.4642,-3.4071,-4.109,1
4.0713,-4.1722,-4.7582,1
-1.4572,1.7425,-5.1241,1
-1.5075,7.1466,0.89136,1
-0.91718,1.1804,-5.2263,1
2.994,-1.2153,0.3211,1
-2.343,3.3285,-5.9426,1
3.7818,2.2558,-0.15734,1
4.6689,0.055404,1.909,1
3.4663,1.7425,1.3388,1
3.2697,3.6884,-0.29829,1
5.1302,-2.8913,-1.5086,1
2.0139,0.37929,0.56938,1
0.4339,2.033,-0.40432,1
-1.0401,0.85998,-5.3336,1
4.1605,-3.6136,-4.0819,1
5.438,-4.9417,-3.9202,1
5.032,-2.6256,-1.0341,1
5.2418,-4.1174,-4.2797,1
-0.2062,-3.7044,-6.8103,1
2.0911,4.5512,1.234,1
1.7317,4.1905,-0.99138,1
4.1736,-1.4244,0.60429,1
3.9232,3.4579,0.83705,1
3.8481,-3.8561,-4.2228,1
0.5195,3.0895,-0.9849,1
3.8584,1.1033,1.7008,1
1.7496,5.1827,1.2922,1
3.6277,0.68861,0.63403,1
2.7391,0.071684,-2.5302,1
4.5447,-2.4166,-1.5875,1
-1.7599,2.6756,-3.3241,1
5.0691,0.20278,1.2095,1
3.4591,-4.2039,-5.0931,1
1.9358,-0.023425,-2.2586,1
2.486,5.3404,-0.15475,1
2.4226,5.947,0.21507,1
3.9479,2.883,0.019813,1
2.2634,3.6558,-0.61251,1
1.3566,2.1341,0.3211,1
5.0452,-1.4304,0.86291,1
3.5499,-3.2794,-1.2009,1
0.17346,0.26876,-3.7883,1
2.4008,-3.3565,-3.3526,1
4.8851,-0.000291,1.6401,1
4.1927,2.5839,0.21766,1
1.1166,-0.96252,-1.8112,1
1.0235,-2.0062,-2.7125,1
-1.803,2.0458,-5.2728,1
0.11739,-1.5495,-2.4746,1
0.5706,1.2421,-0.5621,1
4.0552,2.2806,1.0323,1
-1.6952,8.8294,0.94955,1
-1.1193,2.0938,-5.6504,1
1.8799,2.4931,0.37671,1
3.583,3.4391,-0.12501,1
0.19081,-3.725,-5.8224,1
3.6582,-1.7157,-0.23751,1
-0.13144,8.3316,0.35214,1
2.3925,-3.0361,-2.8224,1
1.6426,0.22849,-0.147,1
-0.11783,8.03,-0.028031,1
-0.69572,1.8419,-4.3289,1
2.9421,-0.97709,-0.88406,1
-1.7559,3.0946,-4.8978,1
-1.2537,1.931,-4.3237,1
3.2585,3.8024,-0.15087,1
1.8314,-0.036278,0.049554,1
4.5645,2.8684,0.27714,1
2.7365,6.6608,-0.57889,1
0.9297,4.6429,-0.2957,1
3.9663,-4.1131,-4.6056,1
1.4578,4.1785,0.59136,1
4.8272,0.68604,0.80731,1
-2.341,0.70403,-7.5836,1
-1.8584,-1.6643,-1.8384,1
4.1454,-1.9153,-0.86078,1
1.9157,0.23705,-2.0116,1
4.0215,2.4648,1.1409,1
5.8862,-2.8167,-0.30087,1
-2.0897,2.3603,-3.4198,1
4.0026,3.5573,0.26809,1
-0.78689,-3.7867,-7.5034,1
4.1757,-3.8552,-4.3056,1
0.83292,0.65005,-0.92544,1
4.8077,-0.26334,1.5534,1
5.3063,-2.8904,-0.52716,1
2.5605,-3.5913,-1.356,1
2.1059,-0.47755,-1.8461,1
2.1721,5.4672,-0.72371,1
4.2899,-4.6067,-4.3263,1
3.5156,-4.2759,-4.978,1
2.614,-3.7258,-1.3069,1
0.68087,4.9085,0.54998,1
4.1962,0.83256,0.753,1
6.0919,-1.3267,1.4551,1
1.3234,0.2362,-0.11984,1
1.3264,5.6566,-0.41337,1
-0.16735,1.2061,-3.6241,1
-1.3,-2.953,-5.8638,1
-2.2261,2.9438,-3.5258,1
2.4196,-0.75688,0.228,1
1.0987,5.989,-0.58277,1
4.6464,-4.5852,-4.206,1
-0.36038,3.1143,-0.37199,1
1.3562,4.3465,0.78662,1
0.5706,1.2421,-0.5621,1
-2.6479,-1.331,-5.4707,1
3.1219,1.9259,-0.37458,1
5.4944,0.041694,1.9284,1
-1.3389,7.0806,1.031,1
-2.3361,3.0835,-5.4435,1
2.2596,4.7355,-0.2776,1
0.46901,7.3848,0.36507,1
2.7296,0.51124,0.5099,1
2.0466,2.1761,-0.083634,1
-1.3274,2.4408,-5.2689,1
3.8905,2.6302,1.1047,1
3.9994,1.1693,1.6892,1
2.3952,-3.1783,-3.0086,1
3.2704,-1.0456,0.23447,1
-1.3931,7.5382,0.78403,1
1.6406,1.3964,-0.36424,1
2.7744,-1.0671,0.075416,1
2.4287,-3.2477,-1.4543,1
4.2134,2.0116,0.67412,1
1.6472,4.7449,1.225,1
2.0597,5.2119,-0.29312,1
0.3798,0.7572,-0.4444,1
1.0135,-1.672,-2.0815,1
4.5691,3.1769,0.004296,1
0.57461,-1.6917,-4.3922,1
0.5734,-0.9094,-1.872,1
5.2868,-1.3721,1.1668,1
4.0102,-4.1388,-5.0646,1
4.1425,3.8281,1.6297,1
3.0934,2.2232,0.22283,1
2.2034,0.53009,0.84998,1
3.744,0.95851,1.0077,1
3.0329,2.1135,0.35084,1
3.7731,-1.6814,-0.94742,1
3.1557,0.59693,0.79825,1
1.8114,-0.9788,-2.4668,1
4.988,-3.2846,-1.1608,1
2.483,-0.79287,-0.90863,1
1.594,1.3758,0.081882,1
-0.016103,0.15394,-1.6134,1
3.8496,-4.1508,-4.4582,1
0.9297,4.6429,-0.2957,1
4.9342,-0.17594,1.6245,1
3.8417,-4.2699,-4.9159,1
5.3915,-3.8081,-3.3642,1
4.4072,2.0416,1.1319,1
2.6946,-0.40301,0.44912,1
5.2756,0.12138,1.1435,1
3.4312,-1.9513,-0.36165,1
4.052,0.45383,0.51248,1
1.3638,8.4182,-1.8836,1
0.89566,-2.7473,-1.9353,1
1.9265,-0.16823,-3.0771,1
0.20977,7.7267,0.90946,1
4.068,2.1992,0.50084,1
2.877,3.6259,-0.32544,1
0.3223,8.0883,0.69222,1
-1.3,-2.953,-5.8638,1
1.7747,8.15,-0.89828,1
1.3419,8.09,-1.7349,1
0.89606,-1.4175,-4.0327,1
0.44125,4.3225,0.7155,1
3.2422,0.12224,-1.4466,1
2.5678,0.61406,-0.40691,1
-2.2153,0.078538,-7.7853,1
4.1349,-2.4294,-0.19613,1
1.934,4.816,-0.33967,1
2.5068,3.9249,0.12585,1
2.1464,-0.5778,-2.2302,1
0.051979,-2.0541,-3.1508,1
1.2706,-0.19651,-2.1888,1
1.143,5.4552,-0.56984,1
2.2928,-3.2417,-1.2991,1
0.3292,4.5718,-0.9888,1
2.9719,-0.2702,0.71291,1
1.6849,-1.2641,-1.3858,1
-1.9177,2.5454,-3.2763,1
2.3729,-3.0087,-3.2013,1
1.0284,-1.3687,-1.7853,1
0.27451,-3.2863,-4.8448,1
1.6032,8.5193,-2.1203,1
4.616,-4.2185,-4.4245,1
4.2478,-2.7696,-1.0767,1
4.0215,2.4957,0.36636,1
5.0297,3.5025,-0.23751,1
1.5902,3.2403,0.18404,1
2.1274,-1.7971,-1.1763,1
1.1811,-2.0567,-0.90345,1
0.3292,4.5718,-0.9888,1
5.7353,-2.2598,0.075416,1
2.6718,0.72974,-1.4892,1
1.5799,7.9186,-1.5487,1
2.9499,1.3458,-0.037083,1
0.5195,3.0895,-0.9849,1
3.7352,-3.9032,-3.3487,1
-1.7344,7.7618,0.93532,1
3.884,-3.9298,-4.0819,1
3.5257,1.9276,1.7991,1
4.4549,1.0313,0.96894,1
-0.16108,8.3573,-1.5216,1
4.2164,-4.9288,-5.2366,1
3.5152,-0.67377,-0.46898,1
1.6988,2.9044,0.11033,1
1.0607,2.5188,-0.17027,1
2.0421,4.2171,0.90429,1
3.5594,1.291,1.6556,1
3.0009,-2.2306,-0.66553,1
3.9294,1.8076,0.89782,1
3.4667,4.2882,1.5418,1
3.966,0.70574,0.33662,1
1.0191,4.9334,0.82929,1
0.96414,2.2138,-0.12501,1
1.8205,0.009991,0.39481,1
4.9923,-2.3515,-0.71984,1
-1.1804,0.15565,-6.8194,1
4.0329,0.89082,1.1823,1
0.66018,-1.4029,-3.9151,1
3.5982,-1.3035,0.21248,1
-1.8584,-1.6643,-1.8384,1
4.0972,1.6671,0.91593,1
3.3299,1.5806,0.39352,1
3.1088,0.80857,0.4336,1
-4.2859,3.1392,-0.91639,1
-1.2528,2.1787,-5.6038,1
0.5195,3.0895,-0.9849,1
0.3292,4.5718,-0.9888,1
0.88872,2.045,-0.19355,1
3.5458,-4.0351,-3.9564,1
-0.21661,1.8848,-3.8853,1
2.7206,-3.3111,-0.96811,1
3.2051,-2.9033,-0.7819,1
2.6917,-3.3,-4.2888,1
-2.3242,1.8231,-5.375,1
2.7161,4.1914,0.16981,1
3.3848,0.90967,0.25128,1
1.7452,2.0878,0.62627,1
2.805,1.3424,1.2133,1
5.7823,-2.4089,-0.056479,1
3.8999,1.6011,0.96765,1
3.5189,-1.7791,-0.020273,1
3.2294,-0.37816,-2.5405,1
3.4985,0.22677,-0.1651,1
2.1948,1.1582,0.85774,1
2.2526,-3.1749,-2.9944,1
4.1529,2.8633,-0.017686,1
0.74307,-1.3824,-4.0728,1
1.9105,-2.3386,-0.75604,1
-1.5055,6.8681,-0.50648,1
0.58836,-1.3884,-4.3276,1
3.2303,-3.5348,-1.2151,1
-1.9922,2.6542,-5.2107,1
2.8523,-3.761,-3.3371,1
4.2772,0.48554,0.36119,1
1.5099,6.2332,-0.30346,1
5.4188,-4.084,-3.6991,1
0.86202,4.2908,0.54739,1
3.8117,-4.0463,-4.5629,1
0.54777,-1.5435,-4.1633,1
2.3718,0.015989,-1.7414,1
-2.4953,1.9353,-3.4638,1
4.6361,2.8358,1.1991,1
-2.2527,2.5899,-3.2737,1
3.7982,-4.1602,-4.9728,1
-0.36279,-1.9213,-3.3332,1
2.1265,0.44784,-2.2224,1
0.86736,1.6765,-0.16769,1
3.7831,-3.8869,-3.7366,1
-2.2623,0.28846,-7.7581,1
1.2616,-1.3335,-1.7517,1
2.6799,0.34073,0.58489,1
-0.39816,1.3912,-1.1621,1
4.3937,2.0416,1.2004,1
2.9695,0.27561,-1.1556,1
1.3049,6.4911,-0.75346,1
2.2123,7.7687,-0.85302,1
1.9647,0.57722,0.66377,1
3.0864,2.2309,0.30947,1
0.3798,0.7572,-0.4444,1
0.58982,1.2353,-2.9595,1
0.14783,1.0742,-3.3409,1
-0.062025,1.099,-1.131,1
4.223,0.72202,0.96118,1
0.64295,0.3493,-0.41337,1
1.941,4.6472,1.0879,1
4.0047,1.3621,1.6181,1
3.7767,-3.9075,-3.5323,1
3.4769,2.53,2.4495,1
1.9818,-3.521,-1.872,1
3.8023,4.044,0.95343,1
4.3483,-4.0857,-4.2539,1
1.1518,5.2727,-0.43536,1
-1.2576,7.0078,0.42455,1
1.9572,8.6127,-1.4297,1
-2.484,2.8204,-3.7418,1
-1.1497,7.701,0.62627,1
4.8368,-4.3239,-4.3276,1
-0.12196,0.94566,-4.2267,1
1.9429,0.092248,0.58102,1
1.742,8.2142,-2.0659,1
-1.5222,2.7827,-4.0974,1
-1.3,-2.953,-5.8638,1
3.4246,0.80342,0.29136,1
2.5503,6.3729,-0.41596,1
1.5691,-0.1828,-2.4099,1
1.3087,2.0013,0.22024,1
5.1776,-3.2511,-1.5694,1
2.229,-3.1123,-2.7164,1
5.6272,-4.2931,-3.8142,1
1.2138,-2.1672,-0.74182,1
0.3798,0.7572,-0.4444,1
0.5415,1.6825,-0.46122,1
4.0524,-1.9693,0.026279,1
4.7285,-0.28305,1.5625,1
3.4359,2.1041,1.8922,1
0.86816,-1.4912,-4.0082,1
3.359,-3.8209,-3.7133,1
3.6702,0.85141,0.30688,1
1.3349,0.46497,0.49826,1
3.1887,2.7742,-0.2026,1
2.4527,0.20021,-0.056479,1
3.9121,0.92852,0.60558,1
3.9364,-3.725,-4.3133,1
3.9414,3.1674,1.0866,1
3.6922,4.3439,1.3517,1
5.681,-2.6848,-0.92544,1
0.77124,-1.2281,-1.4996,1
3.5761,-3.9795,-3.4638,1
1.602,0.52924,0.47886,1
2.6682,-3.4414,-4.0069,1
2.0007,2.6491,0.47369,1
0.64215,4.2933,0.64696,1
4.3848,3.0423,1.2741,1
0.77445,-2.4089,-1.3884,1
0.96574,-1.361,-1.4659,1
3.0948,-2.9007,-0.96682,1
4.9362,-2.3429,-0.85302,1
-1.9458,1.9079,-3.4405,1
5.7403,0.38015,1.3763,1
-2.6989,0.67661,-8.5482,1
1.1472,1.9387,-0.43406,1
2.9742,-2.9024,-1.0379,1
4.5707,-3.2794,-1.4944,1
0.1848,2.0133,-0.87242,1
0.87256,-0.7843,-2.1978,1
0.39559,1.0588,-0.67587,1
3.8384,-2.0439,-0.033204,1
2.8209,-0.81857,-1.8784,1
2.5817,-3.1749,-2.9957,1
3.8213,2.0133,2.0564,1
0.3798,0.7572,-0.4444,1
3.4893,-1.2042,-0.38751,1
-1.7781,7.1303,0.027572,1
2.0962,1.9379,-0.040962,1
0.94732,7.1903,-0.67587,1
2.8261,-3.3034,-1.0509,1
0.007125,0.50781,-3.8155,1
0.96788,1.2798,-2.4565,1
4.7432,0.1368,1.6543,1
3.6575,-2.2692,-1.144,1
3.8832,-2.432,-0.98363,1
3.4776,-3.1886,-0.92285,1
1.1315,1.093,-2.8444,1
2.8237,0.19678,0.57196,1
1.9321,0.26019,-2.053,1
3.0632,5.1305,0.8267,1
-1.8411,2.769,-3.0901,1
2.8084,-3.3394,-4.4194,1
2.5698,5.9856,0.078002,1
-0.12624,-3.7121,-6.1185,1
3.3756,4.367,1.0698,1
-0.048008,8.4756,0.75558,1
0.5706,1.2421,-0.5621,1
0.88444,0.55837,-0.44182,1
3.8644,0.70403,0.35214,1
1.2999,2.0107,-0.18967,1
2.0051,8.132,-0.2401,1
4.9294,0.20792,0.33662,1
2.8297,-0.73546,-0.58665,1
2.565,-2.9941,-1.3082,1
2.093,0.022844,-3.2724,1
4.6014,-2.1235,0.19309,1
5.0617,0.44698,0.99868,1
-0.2951,-0.52725,-2.0789,1
3.577,1.8908,0.73231,1
3.9433,1.5215,0.903,1
2.6648,-3.3994,-4.1685,1
5.9374,-2.5905,-0.36553,1
2.0153,3.1375,0.42843,1
5.8782,-2.8544,-0.60863,1
-2.3983,2.9464,-5.7888,1
1.762,2.1384,0.75429,1
4.2406,1.608,0.7155,1
3.4669,-1.0568,-0.73147,1
3.1896,-0.18537,-0.30087,1
0.81356,-2.1492,-4.1814,1
0.52855,4.0243,-1.0483,1
2.1319,2.5574,-0.061652,1
0.33111,2.057,-0.18967,1
1.2746,-1.5323,-1.7957,1
2.2091,-1.3284,-3.3021,1
2.5328,-0.41929,-2.6478,1
3.6244,1.3501,1.9284,1
-1.3885,0.69118,-7.5487,1
5.7227,-2.4097,-0.24527,1
3.3583,-3.7301,-3.6991,1
2.5227,2.7236,0.79438,1
0.045304,1.0708,-0.9332,1
4.8278,-2.4491,-1.2216,1
1.9476,8.527,-1.8668,1
2.7659,4.1494,-0.28406,1
-0.10648,7.7575,0.64179,1
0.72252,5.6703,-1.3509,1
4.2475,-0.48355,0.95343,1
3.9772,2.2566,2.1625,1
3.6667,0.55923,0.33791,1
2.8232,-3.1466,-3.9784,1
-1.4217,-0.057699,-7.1025,1
4.2458,0.66633,0.94696,1
4.1038,3.3491,-0.49225,1
1.4507,-2.2324,-0.65259,1
3.4647,3.9746,0.36119,1
1.8533,1.0176,-2.0401,1
3.5288,1.9507,1.9375,1
3.9719,0.75973,1.0013,1
3.534,-3.6316,-1.2461,1
3.6894,-4.0788,-4.3664,1
3.0672,3.8238,-0.81682,1
2.6463,6.3549,0.003003,1
2.2893,0.6312,-0.39786,1
1.5673,-0.056842,-2.1694,1
4.0405,1.0279,1.106,1
4.3846,3.3662,-0.029324,1
2.0165,5.1707,1.0763,1
4.0446,-4.3582,-4.7401,1
-0.33729,7.6659,0.72326,1
-2.4604,0.91738,-7.6418,1
4.1195,-3.8929,-4.1802,1
2.0193,4.6369,1.4202,1
1.5701,0.29018,-2.1953,1
2.6415,-0.28562,-1.6677,1
5.0214,-3.0515,-1.7155,1
4.3435,0.83598,0.64955,1
1.8238,8.3873,-0.54139,1
3.9382,0.78543,0.6767,1
2.2517,4.2916,-1.2487,1
5.504,-4.413,-4.0211,1
2.8521,-3.6461,-1.2047,1
1.1676,-2.0867,-0.80647,1
2.6104,-0.23592,-1.7608,1
0.32444,-1.1982,-4.1284,1
3.8962,3.3954,-0.53751,1
2.1752,5.1022,-0.67975,1
1.1588,-2.0807,-1.1272,1
4.7072,-2.5605,-1.4905,1
-1.9667,-0.40472,-7.8719,1
4.0552,1.4563,0.65343,1
2.3678,8.4207,-0.44829,1
0.33565,0.69718,-0.55691,1
4.3398,3.8803,-0.70432,1
1.5456,0.4187,-2.1784,1
1.4276,-2.0995,-1.9677,1
-0.27802,-3.1338,-2.5276,1
0.93611,-1.6351,-1.3043,1
4.6352,2.6773,1.212,1
1.5268,8.6564,-1.722,1
0.95626,4.4578,0.21636,1
-2.7914,6.7756,-0.39915,1
5.2032,-1.2538,1.0129,1
3.1836,-1.0713,-2.5909,1
0.65497,1.0673,-0.42113,1
5.6084,-4.8003,-4.3534,1
1.105,0.41099,-3.0332,1
3.9292,2.2129,0.30817,1
1.1558,1.5506,0.6961,1
2.5581,1.8513,0.40257,1
2.7831,-3.557,-4.4039,1
3.7635,0.66119,0.34179,1
-2.6479,-1.331,-5.4707,1
1.0652,-1.4004,-1.6509,1
-1.4275,0.41613,-6.9978,1
5.7456,-4.7857,-4.3366,1
5.086,-1.2701,1.1189,1
3.4092,-2.5228,-0.89958,1
-0.2361,2.1307,-4.3793,1
3.8197,-4.383,-4.0327,1
-1.1391,6.9144,0.70127,1
4.9249,0.77344,1.2095,1
2.5089,-0.029423,0.44912,1
-0.2062,-3.7044,-6.8103,1
3.946,-1.5443,-0.5582,1
-0.278,-3.1338,-2.5276,1
1.8592,-0.15966,-0.26208,1
0.56953,1.5754,-3.2233,1
3.4626,3.5427,0.15429,1
3.3951,2.1401,2.0862,1
5.0429,0.50439,1.106,1
3.7758,-1.5195,0.40128,1
4.6562,-2.4243,-1.2384,1
4.0948,2.3689,0.75429,1
1.8384,0.54723,0.51248,1
2.0153,4.5864,-0.3151,1
3.5251,1.6928,0.64438,1
3.757,3.8255,-1.2526,1
2.5989,0.7623,0.81119,1
1.8994,4.2265,0.81377,1
3.6941,4.2625,1.1577,1
4.4295,1.7048,0.90946,1
6.8248,-2.5425,0.5461,1
1.8967,2.8093,-0.79742,1
2.1526,8.0831,-0.34355,1
3.3004,-1.3258,0.22283,1
2.7213,-0.58808,0.41809,1
3.8846,2.5334,0.20214,1
4.1665,0.23448,0.27843,1
0.94225,1.8762,-0.32544,1
5.1321,0.32616,1.1151,1
0.38251,1.8128,-0.61251,1
3.0333,2.3183,0.303,1
2.9233,-0.11168,-0.58665,1
1.162,-1.2821,-4.0392,1
3.7791,1.3098,0.5655,1
0.77765,1.1941,-0.3526,1
-0.38388,8.0514,0.49567,1
0.21084,-0.094543,-1.859,1
2.9571,5.9068,0.57196,1
4.6439,2.5976,0.55257,1
3.3577,6.0241,0.18274,1
3.5127,1.0579,0.40774,1
2.6562,-3.3085,-4.0767,1
-1.3612,1.7022,-2.9026,1
-0.278,-3.1338,-2.5276,1
1.04,8.2888,-1.2991,1
2.1881,1.3278,-0.1832,1
4.2756,2.1375,0.94437,1
-0.11996,0.91995,-0.6694,1
2.9736,-3.6359,-1.3754,1
3.7798,2.6491,0.066365,1
5.3586,-1.7345,1.0789,1
1.8373,0.84027,0.55257,1
1.2262,5.7568,-0.11596,1
-0.048008,7.7215,0.453,1
0.5706,1.2421,-0.56208,1
4.3634,1.4281,2.0202,1
3.482,3.5008,-0.078462,1
0.51947,3.0895,-0.98492,1
2.3164,3.1529,-0.08622,1
-1.8348,3.1863,-4.8888,1
1.3754,-1.9136,-0.53751,1
-0.16682,0.49839,-0.70044,1
0.29961,-0.31475,-1.1828,1
0.25035,-3.6873,-6.2543,1
2.4673,1.7125,0.41421,1
0.77805,-1.1425,-1.0573,1
3.4465,1.0271,0.5461,1
2.2429,5.2333,-0.40173,1
3.7321,3.3577,-0.006049,1
4.3365,3.6884,0.74912,1
-2.0759,2.6439,-4.837,1
4.0715,-2.0824,-1.1698,1
0.76163,1.1959,-0.64613,1
-0.53966,0.46583,-1.4543,1
2.6213,0.065686,-1.5759,1
3.0242,2.5865,-0.54785,1
5.8519,-2.4037,-0.061652,1
0.5706,1.2421,-0.5621,1
3.9771,-3.9272,-4.3444,1
1.5478,-1.6326,-1.7375,1
0.74054,2.1992,0.48403,1
0.49571,-1.097,-4.0159,1
1.645,-0.87598,-3.5569,1
3.6077,-1.1622,0.28231,1
3.2403,5.2804,0.41291,1
