"A2","A3","A5","A6","A7","A8","A9","A10","A11","A13","A14","A15","class"
30.83,0,"g","w","v",1.25,"t","t",1,"g",202,0,1
58.67,4.46,"g","q","h",3.04,"t","t",6,"g",43,560,1
24.5,0.5,"g","q","h",1.5,"t","f",0,"g",280,824,1
27.83,1.54,"g","w","v",3.75,"t","t",5,"g",100,3,1
20.17,5.625,"g","w","v",1.71,"t","f",0,"s",120,0,1
32.08,4,"g","m","v",2.5,"t","f",0,"g",360,0,1
33.17,1.04,"g","r","h",6.5,"t","f",0,"g",164,31285,1
22.92,11.585,"g","cc","v",0.04,"t","f",0,"g",80,1349,1
54.42,0.5,"p","k","h",3.96,"t","f",0,"g",180,314,1
42.5,4.915,"p","w","v",3.165,"t","f",0,"g",52,1442,1
22.08,0.83,"g","c","h",2.165,"f","f",0,"g",128,0,1
29.92,1.835,"g","c","h",4.335,"t","f",0,"g",260,200,1
38.25,6,"g","k","v",1,"t","f",0,"g",0,0,1
48.08,6.04,"g","k","v",0.04,"f","f",0,"g",0,2690,1
45.83,10.5,"g","q","v",5,"t","t",7,"g",0,0,1
36.67,4.415,"p","k","v",0.25,"t","t",10,"g",320,0,1
28.25,0.875,"g","m","v",0.96,"t","t",3,"g",396,0,1
23.25,5.875,"g","q","v",3.17,"t","t",10,"g",120,245,1
21.83,0.25,"g","d","h",0.665,"t","f",0,"g",0,0,1
19.17,8.585,"g","cc","h",0.75,"t","t",7,"g",96,0,1
25,11.25,"g","c","v",2.5,"t","t",17,"g",200,1208,1
23.25,1,"g","c","v",0.835,"t","f",0,"s",300,0,1
47.75,8,"g","c","v",7.875,"t","t",6,"g",0,1260,1
27.42,14.5,"g","x","h",3.085,"t","t",1,"g",120,11,1
41.17,6.5,"g","q","v",0.5,"t","t",3,"g",145,0,1
15.83,0.585,"g","c","h",1.5,"t","t",2,"g",100,0,1
47,13,"g","i","bb",5.165,"t","t",9,"g",0,0,1
56.58,18.5,"g","d","bb",15,"t","t",17,"g",0,0,1
57.42,8.5,"g","e","h",7,"t","t",3,"g",0,0,1
42.08,1.04,"g","w","v",5,"t","t",6,"g",500,10000,1
29.25,14.79,"g","aa","v",5.04,"t","t",5,"g",168,0,1
42,9.79,"g","x","h",7.96,"t","t",8,"g",0,0,1
49.5,7.585,"g","i","bb",7.585,"t","t",15,"g",0,5000,1
36.75,5.125,"g","e","v",5,"t","f",0,"g",0,4000,1
22.58,10.75,"g","q","v",0.415,"t","t",5,"g",0,560,1
27.83,1.5,"g","w","v",2,"t","t",11,"g",434,35,1
27.25,1.585,"g","cc","h",1.835,"t","t",12,"g",583,713,1
23,11.75,"g","x","h",0.5,"t","t",2,"g",300,551,1
27.75,0.585,"p","cc","v",0.25,"t","t",2,"g",260,500,1
54.58,9.415,"g","ff","ff",14.415,"t","t",11,"g",30,300,1
34.17,9.17,"g","c","v",4.5,"t","t",12,"g",0,221,1
28.92,15,"g","c","h",5.335,"t","t",11,"g",0,2283,1
29.67,1.415,"g","w","h",0.75,"t","t",1,"g",240,100,1
39.58,13.915,"g","w","v",8.625,"t","t",6,"g",70,0,1
56.42,28,"p","c","v",28.5,"t","t",40,"g",0,15,1
54.33,6.75,"g","c","h",2.625,"t","t",11,"g",0,284,1
41,2.04,"p","q","h",0.125,"t","t",23,"g",455,1236,1
31.92,4.46,"g","cc","h",6.04,"t","t",3,"g",311,300,1
41.5,1.54,"g","i","bb",3.5,"f","f",0,"g",216,0,1
23.92,0.665,"g","c","v",0.165,"f","f",0,"g",100,0,1
25.75,0.5,"g","c","h",0.875,"t","f",0,"g",491,0,1
26,1,"g","q","v",1.75,"t","f",0,"g",280,0,1
37.42,2.04,"g","w","v",0.04,"t","f",0,"g",400,5800,1
34.92,2.5,"g","w","v",0,"t","f",0,"g",239,200,1
34.25,3,"g","cc","h",7.415,"t","f",0,"g",0,0,1
23.33,11.625,"p","w","v",0.835,"t","f",0,"g",160,300,1
23.17,0,"g","cc","v",0.085,"t","f",0,"g",0,0,1
44.33,0.5,"g","i","h",5,"t","f",0,"g",320,0,1
35.17,4.5,"g","x","h",5.75,"f","f",0,"s",711,0,1
43.25,3,"g","q","h",6,"t","t",11,"g",80,0,1
56.75,12.25,"g","m","v",1.25,"t","t",4,"g",200,0,1
31.67,16.165,"g","d","v",3,"t","t",9,"g",250,730,1
23.42,0.79,"p","q","v",1.5,"t","t",2,"g",80,400,1
20.42,0.835,"g","q","v",1.585,"t","t",1,"g",0,0,1
26.67,4.25,"g","cc","v",4.29,"t","t",1,"g",120,0,1
34.17,1.54,"g","cc","v",1.54,"t","t",1,"g",520,50000,1
36,1,"g","c","v",2,"t","t",11,"g",0,456,1
25.5,0.375,"g","m","v",0.25,"t","t",3,"g",260,15108,1
19.42,6.5,"g","w","h",1.46,"t","t",7,"g",80,2954,1
35.17,25.125,"g","x","h",1.625,"t","t",1,"g",515,500,1
32.33,7.5,"g","e","bb",1.585,"t","f",0,"s",420,0,2
34.83,4,"g","d","bb",12.5,"t","f",0,"g",160,0,2
38.58,5,"g","cc","v",13.5,"t","f",0,"g",980,0,2
44.25,0.5,"g","m","v",10.75,"t","f",0,"s",400,0,2
44.83,7,"p","c","v",1.625,"f","f",0,"g",160,2,2
20.67,5.29,"g","q","v",0.375,"t","t",1,"g",160,0,2
34.08,6.5,"g","aa","v",0.125,"t","f",0,"g",443,0,2
19.17,0.585,"p","aa","v",0.585,"t","f",0,"g",160,0,2
21.67,1.165,"p","k","v",2.5,"t","t",1,"g",180,20,2
21.5,9.75,"g","c","v",0.25,"t","f",0,"g",140,0,2
49.58,19,"g","ff","ff",0,"t","t",1,"g",94,0,2
27.67,1.5,"g","m","v",2,"t","f",0,"s",368,0,2
39.83,0.5,"g","m","v",0.25,"t","f",0,"s",288,0,2
28.46,3.5,"g","d","v",3,"t","f",0,"g",300,0,2
27.25,0.625,"g","aa","v",0.455,"t","f",0,"g",200,0,2
37.17,4,"g","c","bb",5,"t","f",0,"s",280,0,2
28.46,0.375,"g","d","v",0.875,"t","f",0,"s",928,0,2
25.67,2.21,"p","aa","v",4,"t","f",0,"g",188,0,2
34,4.5,"g","aa","v",1,"t","f",0,"g",240,0,2
49,1.5,"g","j","j",0,"t","f",0,"g",100,27,2
62.5,12.75,"p","c","h",5,"t","f",0,"g",112,0,2
31.42,15.5,"g","c","v",0.5,"t","f",0,"g",120,0,2
28.46,5,"p","aa","v",8.5,"t","f",0,"g",0,0,2
52.33,1.375,"p","c","h",9.46,"t","f",0,"g",200,100,2
28.75,1.5,"p","c","v",1.5,"t","f",0,"g",0,225,2
28.58,3.54,"g","i","bb",0.5,"t","f",0,"g",171,0,2
23,0.625,"p","aa","v",0.125,"t","f",0,"g",180,1,2
28.46,0.5,"g","c","bb",0.835,"t","f",0,"s",320,0,2
22.5,11,"p","q","v",3,"t","f",0,"g",268,0,2
28.5,1,"g","q","v",1,"t","t",2,"g",167,500,2
37.5,1.75,"p","c","bb",0.25,"t","f",0,"g",164,400,2
35.25,16.5,"p","c","v",4,"t","f",0,"g",80,0,2
18.67,5,"g","q","v",0.375,"t","t",2,"g",0,38,2
25,12,"g","k","v",2.25,"t","t",2,"g",120,5,2
27.83,4,"p","i","h",5.75,"t","t",2,"g",75,0,2
54.83,15.5,"g","e","z",0,"t","t",20,"g",152,130,2
28.75,1.165,"g","k","v",0.5,"t","f",0,"s",280,0,2
25,11,"p","aa","v",4.5,"t","f",0,"g",120,0,2
40.92,2.25,"p","x","h",10,"t","f",0,"g",176,0,2
19.75,0.75,"g","c","v",0.795,"t","t",5,"g",140,5,2
29.17,3.5,"g","w","v",3.5,"t","t",3,"g",329,0,2
24.5,1.04,"p","ff","ff",0.5,"t","t",3,"g",180,147,2
24.58,12.5,"g","w","v",0.875,"t","f",0,"g",260,0,2
33.75,0.75,"g","k","bb",1,"t","t",3,"g",212,0,2
20.67,1.25,"p","c","h",1.375,"t","t",3,"g",140,210,2
25.42,1.125,"g","q","v",1.29,"t","t",2,"g",200,0,2
37.75,7,"g","q","h",11.5,"t","t",7,"g",300,5,2
52.5,6.5,"g","k","v",6.29,"t","t",15,"g",0,11202,1
57.83,7.04,"g","m","v",14,"t","t",6,"g",360,1332,1
20.75,10.335,"g","cc","h",0.335,"t","t",1,"g",80,50,1
39.92,6.21,"g","q","v",0.04,"t","t",1,"g",200,300,1
25.67,12.5,"g","cc","v",1.21,"t","t",67,"g",140,258,1
24.75,12.5,"g","aa","v",1.5,"t","t",12,"g",120,567,1
44.17,6.665,"g","q","v",7.375,"t","t",3,"g",0,0,1
23.5,9,"g","q","v",8.5,"t","t",5,"g",120,0,1
34.92,5,"g","x","h",7.5,"t","t",6,"g",0,1000,1
47.67,2.5,"g","m","bb",2.5,"t","t",12,"g",410,2510,1
22.75,11,"g","q","v",2.5,"t","t",7,"g",100,809,1
34.42,4.25,"g","i","bb",3.25,"t","t",2,"g",274,610,1
28.42,3.5,"g","w","v",0.835,"t","f",0,"s",280,0,1
67.75,5.5,"g","e","z",13,"t","t",1,"g",0,0,1
20.42,1.835,"g","c","v",2.25,"t","t",1,"g",100,150,1
47.42,8,"g","e","bb",6.5,"t","t",6,"g",375,51100,1
36.25,5,"g","c","bb",2.5,"t","t",6,"g",0,367,1
32.67,5.5,"g","q","h",5.5,"t","t",12,"g",408,1000,1
48.58,6.5,"g","q","h",6,"t","f",0,"g",350,0,1
39.92,0.54,"p","aa","v",0.5,"t","t",3,"g",200,1000,1
33.58,2.75,"g","m","v",4.25,"t","t",6,"g",204,0,1
18.83,9.5,"g","w","v",1.625,"t","t",6,"g",40,600,1
26.92,13.5,"g","q","h",5,"t","t",2,"g",0,5000,1
31.25,3.75,"g","cc","h",0.625,"t","t",9,"g",181,0,1
56.5,16,"g","j","ff",0,"t","t",15,"g",0,247,1
43,0.29,"p","cc","h",1.75,"t","t",8,"g",100,375,1
22.33,11,"g","w","v",2,"t","t",1,"g",80,278,1
27.25,1.665,"g","cc","h",5.085,"t","t",9,"g",399,827,1
32.83,2.5,"g","cc","h",2.75,"t","t",6,"g",160,2072,1
23.25,1.5,"g","q","v",2.375,"t","t",3,"g",0,582,1
40.33,7.54,"p","q","h",8,"t","t",14,"g",0,2300,1
30.5,6.5,"g","c","bb",4,"t","t",7,"g",0,3065,1
52.83,15,"g","c","v",5.5,"t","t",14,"g",0,2200,1
46.67,0.46,"g","cc","h",0.415,"t","t",11,"g",440,6,1
58.33,10,"g","q","v",4,"t","t",14,"g",0,1602,1
37.33,6.5,"g","m","h",4.25,"t","t",12,"g",93,0,1
23.08,2.5,"g","c","v",1.085,"t","t",11,"g",60,2184,1
32.75,1.5,"g","cc","h",5.5,"t","t",3,"g",0,0,1
21.67,11.5,"p","j","j",0,"t","t",11,"g",0,0,1
28.5,3.04,"p","x","h",2.54,"t","t",1,"g",70,0,1
68.67,15,"g","e","z",0,"t","t",14,"g",0,3376,1
28,2,"g","k","h",4.165,"t","t",2,"g",181,0,1
34.08,0.08,"p","m","bb",0.04,"t","t",1,"g",280,2000,1
27.67,2,"g","x","h",1,"t","t",4,"g",140,7544,1
44,2,"g","m","v",1.75,"t","t",2,"g",0,15,1
25.08,1.71,"g","x","v",1.665,"t","t",1,"g",395,20,1
32,1.75,"p","e","h",0.04,"t","f",0,"g",393,0,1
60.58,16.5,"g","q","v",11,"t","f",0,"g",21,10561,1
40.83,10,"g","q","h",1.75,"t","f",0,"g",29,837,1
19.33,9.5,"g","q","v",1,"t","f",0,"g",60,400,1
32.33,0.54,"g","cc","v",0.04,"t","f",0,"g",440,11177,1
36.67,3.25,"g","q","h",9,"t","f",0,"g",102,639,1
37.5,1.125,"p","d","v",1.5,"f","f",0,"g",431,0,1
25.08,2.54,"p","aa","v",0.25,"t","f",0,"g",370,0,1
41.33,0,"g","c","bb",15,"t","f",0,"g",0,0,1
56,12.5,"g","k","h",8,"t","f",0,"g",24,2028,1
49.83,13.585,"g","k","h",8.5,"t","f",0,"g",0,0,1
22.67,10.5,"g","q","h",1.335,"t","f",0,"g",100,0,1
27,1.5,"p","w","v",0.375,"t","f",0,"g",260,1065,1
25,12.5,"g","aa","v",3,"t","f",0,"s",20,0,1
26.08,8.665,"g","aa","v",1.415,"t","f",0,"g",160,150,1
18.42,9.25,"g","q","v",1.21,"t","t",4,"g",60,540,1
20.17,8.17,"g","aa","v",1.96,"t","t",14,"g",60,158,1
47.67,0.29,"g","c","bb",15,"t","t",20,"g",0,15000,1
21.25,2.335,"g","i","bb",0.5,"t","t",4,"s",80,0,1
20.67,3,"g","q","v",0.165,"t","t",3,"g",100,6,1
57.08,19.5,"g","c","v",5.5,"t","t",7,"g",0,3000,1
22.42,5.665,"g","q","v",2.585,"t","t",7,"g",129,3257,1
48.75,8.5,"g","c","h",12.5,"t","t",9,"g",181,1655,1
40,6.5,"g","aa","bb",3.5,"t","t",1,"g",0,500,1
40.58,5,"g","c","v",5,"t","t",7,"g",0,3065,1
28.67,1.04,"g","c","v",2.5,"t","t",5,"g",300,1430,1
33.08,4.625,"g","q","h",1.625,"t","t",2,"g",0,0,1
21.33,10.5,"g","c","v",3,"t","f",0,"g",0,0,1
42,0.205,"g","i","h",5.125,"t","f",0,"g",400,0,1
41.75,0.96,"g","x","v",2.5,"t","f",0,"g",510,600,1
22.67,1.585,"p","w","v",3.085,"t","t",6,"g",80,0,1
34.5,4.04,"p","i","bb",8.5,"t","t",7,"g",195,0,1
28.25,5.04,"p","c","bb",1.5,"t","t",8,"g",144,7,1
33.17,3.165,"p","x","v",3.165,"t","t",3,"g",380,0,1
48.17,7.625,"g","w","h",15.5,"t","t",12,"g",0,790,1
27.58,2.04,"p","aa","v",2,"t","t",3,"g",370,560,1
22.58,10.04,"g","x","v",0.04,"t","t",9,"g",60,396,1
24.08,0.5,"g","q","h",1.25,"t","t",1,"g",0,678,1
41.33,1,"g","i","bb",2.25,"t","f",0,"g",0,300,1
24.83,2.75,"g","c","v",2.25,"t","t",6,"g",160,600,1
20.75,10.25,"g","q","v",0.71,"t","t",2,"g",49,0,1
36.33,2.125,"p","w","v",0.085,"t","t",1,"g",50,1187,1
35.42,12,"g","q","h",14,"t","t",8,"g",0,6590,1
71.58,0,"other","other","other",0,"f","f",0,"p",160,0,1
28.67,9.335,"g","q","h",5.665,"t","t",6,"g",381,168,1
35.17,2.5,"g","k","v",4.5,"t","t",7,"g",150,1270,1
39.5,4.25,"g","c","bb",6.5,"t","t",16,"g",117,1210,1
39.33,5.875,"g","cc","h",10,"t","t",14,"g",399,0,1
24.33,6.625,"p","d","v",5.5,"t","f",0,"s",100,0,1
60.08,14.5,"g","ff","ff",18,"t","t",15,"g",0,1000,1
23.08,11.5,"g","i","v",3.5,"t","t",9,"g",56,742,1
26.67,2.71,"p","cc","v",5.25,"t","t",1,"g",211,0,1
48.17,3.5,"g","aa","v",3.5,"t","f",0,"s",230,0,1
41.17,4.04,"g","cc","h",7,"t","t",8,"g",320,0,1
55.92,11.5,"g","ff","ff",5,"t","t",5,"g",0,8851,1
53.92,9.625,"g","e","v",8.665,"t","t",5,"g",0,0,1
18.92,9.25,"p","c","v",1,"t","t",4,"g",80,500,1
50.08,12.54,"g","aa","v",2.29,"t","t",3,"g",156,0,1
65.42,11,"g","e","z",20,"t","t",7,"g",22,0,1
17.58,9,"g","aa","v",1.375,"t","f",0,"g",0,0,1
18.83,9.54,"g","aa","v",0.085,"t","f",0,"g",100,0,1
37.75,5.5,"g","q","v",0.125,"t","f",0,"g",228,0,1
23.25,4,"g","c","bb",0.25,"t","f",0,"g",160,0,1
18.08,5.5,"g","k","v",0.5,"t","f",0,"g",80,0,1
22.5,8.46,"p","x","v",2.46,"f","f",0,"g",164,0,1
19.67,0.375,"g","q","v",2,"t","t",2,"g",80,0,1
22.08,11,"g","cc","v",0.665,"t","f",0,"g",100,0,1
25.17,3.5,"g","cc","v",0.625,"t","t",7,"g",0,7059,1
47.42,3,"g","x","v",13.875,"t","t",2,"g",519,1704,1
33.5,1.75,"g","x","h",4.5,"t","t",4,"g",253,857,1
27.67,13.75,"g","w","v",5.75,"t","f",0,"g",487,500,1
58.42,21,"g","i","bb",10,"t","t",13,"g",0,6700,1
20.67,1.835,"g","q","v",2.085,"t","t",5,"g",220,2503,1
26.17,0.25,"g","i","bb",0,"t","f",0,"g",0,0,1
21.33,7.5,"g","aa","v",1.415,"t","t",1,"g",80,9800,1
42.83,4.625,"g","q","v",4.58,"t","f",0,"s",0,0,1
38.17,10.125,"g","x","v",2.5,"t","t",6,"g",520,196,1
20.5,10,"p","c","v",2.5,"t","f",0,"s",40,0,1
48.25,25.085,"g","w","v",1.75,"t","t",3,"g",120,14,1
28.33,5,"g","w","v",11,"t","f",0,"g",70,0,1
18.75,7.5,"g","q","v",2.71,"t","t",5,"g",160,26726,1
18.5,2,"g","i","v",1.5,"t","t",2,"g",120,300,1
33.17,3.04,"p","c","h",2.04,"t","t",1,"g",180,18027,1
45,8.5,"g","cc","h",14,"t","t",1,"g",88,2000,1
19.67,0.21,"g","q","h",0.29,"t","t",11,"g",80,99,1
24.5,12.75,"g","c","bb",4.75,"t","t",2,"g",73,444,1
21.83,11,"g","x","v",0.29,"t","t",6,"g",121,0,1
40.25,21.5,"g","e","z",20,"t","t",11,"g",0,1200,1
41.42,5,"g","q","h",5,"t","t",6,"g",470,0,1
17.83,11,"g","x","h",1,"t","t",11,"g",0,3000,1
23.17,11.125,"g","x","h",0.46,"t","t",1,"g",100,0,1
28.46,0.625,"g","k","v",0.25,"f","f",0,"g",380,2010,2
18.17,10.25,"g","c","h",1.085,"f","f",0,"g",320,13,2
20,11.045,"g","c","v",2,"f","f",0,"g",136,0,2
20,0,"g","d","v",0.5,"f","f",0,"g",144,0,2
20.75,9.54,"g","i","v",0.04,"f","f",0,"g",200,1000,2
24.5,1.75,"p","c","v",0.165,"f","f",0,"g",132,0,2
32.75,2.335,"g","d","h",5.75,"f","f",0,"g",292,0,2
52.17,0,"p","ff","ff",0,"f","f",0,"g",0,0,2
48.17,1.335,"g","i","o",0.335,"f","f",0,"g",0,120,2
20.42,10.5,"p","x","h",0,"f","f",0,"g",154,32,2
50.75,0.585,"g","ff","ff",0,"f","f",0,"g",145,0,2
17.08,0.085,"p","c","v",0.04,"f","f",0,"g",140,722,2
18.33,1.21,"p","e","dd",0,"f","f",0,"g",100,0,2
32,6,"g","d","v",1.25,"f","f",0,"g",272,0,2
59.67,1.54,"g","q","v",0.125,"t","f",0,"g",260,0,1
18,0.165,"g","q","n",0.21,"f","f",0,"g",200,40,1
37.58,0,"other","other","other",0,"f","f",0,"p",160,0,1
32.33,2.5,"g","c","v",1.25,"f","f",0,"g",280,0,2
18.08,6.75,"p","m","v",0.04,"f","f",0,"g",140,0,2
38.25,10.125,"p","k","v",0.125,"f","f",0,"g",160,0,2
30.67,2.5,"g","cc","h",2.25,"f","f",0,"s",340,0,2
18.58,5.71,"g","d","v",0.54,"f","f",0,"g",120,0,2
19.17,5.415,"g","i","h",0.29,"f","f",0,"g",80,484,2
18.17,10,"p","q","h",0.165,"f","f",0,"g",340,0,2
24.58,13.5,"p","ff","ff",0,"f","f",0,"g",160,0,2
16.25,0.835,"g","m","v",0.085,"t","f",0,"s",200,0,2
21.17,0.875,"p","c","h",0.25,"f","f",0,"g",280,204,2
23.92,0.585,"p","cc","h",0.125,"f","f",0,"g",240,1,2
17.67,4.46,"g","c","v",0.25,"f","f",0,"s",80,0,2
16.5,1.25,"g","q","v",0.25,"f","t",1,"g",108,98,2
23.25,12.625,"g","c","v",0.125,"f","t",2,"g",0,5552,2
17.58,10,"g","w","h",0.165,"f","t",1,"g",120,1,2
28.46,1.5,"g","ff","ff",0,"f","t",2,"g",200,105,2
29.5,0.58,"g","w","v",0.29,"f","t",1,"g",340,2803,2
18.83,0.415,"p","c","v",0.165,"f","t",1,"g",200,1,2
21.75,1.75,"p","j","j",0,"f","f",0,"g",160,0,2
23,0.75,"g","m","v",0.5,"f","f",0,"s",320,0,2
18.25,10,"g","w","v",1,"f","t",1,"g",120,1,2
25.42,0.54,"g","w","v",0.165,"f","t",1,"g",272,444,2
35.75,2.415,"g","w","v",0.125,"f","t",2,"g",220,1,2
16.08,0.335,"g","ff","ff",0,"f","t",1,"g",160,126,2
31.92,3.125,"g","ff","ff",3.04,"f","t",2,"g",200,4,2
69.17,9,"g","ff","ff",4,"f","t",1,"g",70,6,2
32.92,2.5,"g","aa","v",1.75,"f","t",2,"g",720,0,2
16.33,2.75,"g","aa","v",0.665,"f","t",1,"g",80,21,2
22.17,12.125,"g","c","v",3.335,"f","t",2,"g",180,173,2
57.58,2,"g","ff","ff",6.5,"f","t",1,"g",0,10,2
18.25,0.165,"g","d","v",0.25,"f","f",0,"s",280,0,2
23.42,1,"g","c","v",0.5,"f","f",0,"s",280,0,2
15.92,2.875,"g","q","v",0.085,"f","f",0,"g",120,0,2
24.75,13.665,"g","q","h",1.5,"f","f",0,"g",280,1,2
48.75,26.335,"p","ff","ff",0,"t","f",0,"g",0,0,2
23.5,2.75,"g","ff","ff",4.5,"f","f",0,"g",160,25,2
18.58,10.29,"g","ff","ff",0.415,"f","f",0,"g",80,0,2
27.75,1.29,"g","k","h",0.25,"f","f",0,"s",140,0,2
31.75,3,"p","j","j",0,"f","f",0,"g",160,20,2
24.83,4.5,"g","w","v",1,"f","f",0,"g",360,6,2
19,1.75,"p","c","v",2.335,"f","f",0,"g",112,6,2
16.33,0.21,"g","aa","v",0.125,"f","f",0,"g",200,1,2
18.58,10,"g","d","v",0.415,"f","f",0,"g",80,42,2
16.25,0,"p","aa","v",0.25,"f","f",0,"g",60,0,2
23,0.75,"g","m","v",0.5,"t","f",0,"s",320,0,2
21.17,0.25,"p","c","h",0.25,"f","f",0,"g",280,204,2
17.5,22,"gg","ff","o",0,"f","f",0,"p",450,1e+05,1
19.17,0,"p","m","bb",0,"f","f",0,"s",500,1,1
36.75,0.125,"p","c","v",1.5,"f","f",0,"g",232,113,1
21.25,1.5,"g","w","v",1.5,"f","f",0,"g",150,8,1
18.08,0.375,"gg","cc","ff",10,"f","f",0,"s",300,0,1
33.67,0.375,"g","cc","v",0.375,"f","f",0,"g",300,44,1
48.58,0.205,"p","k","v",0.25,"t","t",11,"g",380,2732,1
33.67,1.25,"g","w","v",1.165,"f","f",0,"g",120,0,2
29.5,1.085,"p","x","v",1,"f","f",0,"g",280,13,2
30.17,1.085,"p","c","v",0.04,"f","f",0,"g",170,179,2
40.83,3.5,"g","i","bb",0.5,"f","f",0,"s",1160,0,2
34.83,2.5,"p","w","v",3,"f","f",0,"s",200,0,2
28.46,4,"p","i","v",0.085,"f","f",0,"g",411,0,2
20.42,0,"other","other","other",0,"f","f",0,"p",160,0,2
33.25,2.5,"p","c","v",2.5,"f","f",0,"g",0,2,2
34.08,2.5,"g","c","v",1,"f","f",0,"g",460,16,2
25.25,12.5,"g","d","v",1,"f","f",0,"g",180,1062,2
34.75,2.5,"g","cc","bb",0.5,"f","f",0,"g",348,0,2
27.67,0.75,"g","q","h",0.165,"f","f",0,"g",220,251,2
47.33,6.5,"g","c","v",1,"f","f",0,"g",0,228,2
34.83,1.25,"p","i","h",0.5,"f","f",0,"g",160,0,2
33.25,3,"p","aa","v",2,"f","f",0,"g",180,0,2
28,3,"g","w","v",0.75,"f","f",0,"g",300,67,2
39.08,4,"g","c","v",3,"f","f",0,"g",480,0,2
42.75,4.085,"g","aa","v",0.04,"f","f",0,"g",108,100,2
26.92,2.25,"g","i","bb",0.5,"f","f",0,"g",640,4000,2
33.75,2.75,"g","i","bb",0,"f","f",0,"g",180,0,2
