"A3","A4","A5","A6","A8","A9","A10","A11","A14","A15","class"
0,"u","g","w",1.25,"t","t",1,202,0,1
4.46,"u","g","q",3.04,"t","t",6,43,560,1
0.5,"u","g","q",1.5,"t","f",0,280,824,1
1.54,"u","g","w",3.75,"t","t",5,100,3,1
5.625,"u","g","w",1.71,"t","f",0,120,0,1
4,"u","g","m",2.5,"t","f",0,360,0,1
1.04,"u","g","r",6.5,"t","f",0,164,31285,1
11.585,"u","g","cc",0.04,"t","f",0,80,1349,1
0.5,"y","p","k",3.96,"t","f",0,180,314,1
4.915,"y","p","w",3.165,"t","f",0,52,1442,1
0.83,"u","g","c",2.165,"f","f",0,128,0,1
1.835,"u","g","c",4.335,"t","f",0,260,200,1
6,"u","g","k",1,"t","f",0,0,0,1
6.04,"u","g","k",0.04,"f","f",0,0,2690,1
10.5,"u","g","q",5,"t","t",7,0,0,1
4.415,"y","p","k",0.25,"t","t",10,320,0,1
0.875,"u","g","m",0.96,"t","t",3,396,0,1
5.875,"u","g","q",3.17,"t","t",10,120,245,1
0.25,"u","g","d",0.665,"t","f",0,0,0,1
8.585,"u","g","cc",0.75,"t","t",7,96,0,1
11.25,"u","g","c",2.5,"t","t",17,200,1208,1
1,"u","g","c",0.835,"t","f",0,300,0,1
8,"u","g","c",7.875,"t","t",6,0,1260,1
14.5,"u","g","x",3.085,"t","t",1,120,11,1
6.5,"u","g","q",0.5,"t","t",3,145,0,1
0.585,"u","g","c",1.5,"t","t",2,100,0,1
13,"u","g","i",5.165,"t","t",9,0,0,1
18.5,"u","g","d",15,"t","t",17,0,0,1
8.5,"u","g","e",7,"t","t",3,0,0,1
1.04,"u","g","w",5,"t","t",6,500,10000,1
14.79,"u","g","aa",5.04,"t","t",5,168,0,1
9.79,"u","g","x",7.96,"t","t",8,0,0,1
7.585,"u","g","i",7.585,"t","t",15,0,5000,1
5.125,"u","g","e",5,"t","f",0,0,4000,1
10.75,"u","g","q",0.415,"t","t",5,0,560,1
1.5,"u","g","w",2,"t","t",11,434,35,1
1.585,"u","g","cc",1.835,"t","t",12,583,713,1
11.75,"u","g","x",0.5,"t","t",2,300,551,1
0.585,"y","p","cc",0.25,"t","t",2,260,500,1
9.415,"u","g","ff",14.415,"t","t",11,30,300,1
9.17,"u","g","c",4.5,"t","t",12,0,221,1
15,"u","g","c",5.335,"t","t",11,0,2283,1
1.415,"u","g","w",0.75,"t","t",1,240,100,1
13.915,"u","g","w",8.625,"t","t",6,70,0,1
28,"y","p","c",28.5,"t","t",40,0,15,1
6.75,"u","g","c",2.625,"t","t",11,0,284,1
2.04,"y","p","q",0.125,"t","t",23,455,1236,1
4.46,"u","g","cc",6.04,"t","t",3,311,300,1
1.54,"u","g","i",3.5,"f","f",0,216,0,1
0.665,"u","g","c",0.165,"f","f",0,100,0,1
0.5,"u","g","c",0.875,"t","f",0,491,0,1
1,"u","g","q",1.75,"t","f",0,280,0,1
2.04,"u","g","w",0.04,"t","f",0,400,5800,1
2.5,"u","g","w",0,"t","f",0,239,200,1
3,"u","g","cc",7.415,"t","f",0,0,0,1
11.625,"y","p","w",0.835,"t","f",0,160,300,1
0,"u","g","cc",0.085,"t","f",0,0,0,1
0.5,"u","g","i",5,"t","f",0,320,0,1
4.5,"u","g","x",5.75,"f","f",0,711,0,1
3,"u","g","q",6,"t","t",11,80,0,1
12.25,"u","g","m",1.25,"t","t",4,200,0,1
16.165,"u","g","d",3,"t","t",9,250,730,1
0.79,"y","p","q",1.5,"t","t",2,80,400,1
0.835,"u","g","q",1.585,"t","t",1,0,0,1
4.25,"u","g","cc",4.29,"t","t",1,120,0,1
1.54,"u","g","cc",1.54,"t","t",1,520,50000,1
1,"u","g","c",2,"t","t",11,0,456,1
0.375,"u","g","m",0.25,"t","t",3,260,15108,1
6.5,"u","g","w",1.46,"t","t",7,80,2954,1
25.125,"u","g","x",1.625,"t","t",1,515,500,1
7.5,"u","g","e",1.585,"t","f",0,420,0,2
4,"u","g","d",12.5,"t","f",0,0,0,2
5,"u","g","cc",13.5,"t","f",0,980,0,2
0.5,"u","g","m",10.75,"t","f",0,400,0,2
7,"y","p","c",1.625,"f","f",0,160,2,2
5.29,"u","g","q",0.375,"t","t",1,160,0,2
6.5,"u","g","aa",0.125,"t","f",0,443,0,2
0.585,"y","p","aa",0.585,"t","f",0,160,0,2
1.165,"y","p","k",2.5,"t","t",1,180,20,2
9.75,"u","g","c",0.25,"t","f",0,140,0,2
19,"u","g","ff",0,"t","t",1,94,0,2
1.5,"u","g","m",2,"t","f",0,368,0,2
0.5,"u","g","m",0.25,"t","f",0,288,0,2
3.5,"u","g","d",3,"t","f",0,300,0,2
0.625,"u","g","aa",0.455,"t","f",0,200,0,2
4,"u","g","c",5,"t","f",0,280,0,2
0.375,"u","g","d",0.875,"t","f",0,928,0,2
2.21,"y","p","aa",4,"t","f",0,188,0,2
4.5,"u","g","aa",1,"t","f",0,240,0,2
1.5,"u","g","j",0,"t","f",0,100,27,2
12.75,"y","p","c",5,"t","f",0,112,0,2
15.5,"u","g","c",0.5,"t","f",0,120,0,2
5,"y","p","aa",8.5,"t","f",0,0,0,2
1.375,"y","p","c",9.46,"t","f",0,200,100,2
1.5,"y","p","c",1.5,"t","f",0,0,225,2
3.54,"u","g","i",0.5,"t","f",0,171,0,2
0.625,"y","p","aa",0.125,"t","f",0,180,1,2
0.5,"u","g","c",0.835,"t","f",0,320,0,2
11,"y","p","q",3,"t","f",0,268,0,2
1,"u","g","q",1,"t","t",2,167,500,2
1.75,"y","p","c",0.25,"t","f",0,164,400,2
16.5,"y","p","c",4,"t","f",0,80,0,2
5,"u","g","q",0.375,"t","t",2,0,38,2
12,"u","g","k",2.25,"t","t",2,120,5,2
4,"y","p","i",5.75,"t","t",2,75,0,2
15.5,"u","g","e",0,"t","t",20,152,130,2
1.165,"u","g","k",0.5,"t","f",0,280,0,2
11,"y","p","aa",4.5,"t","f",0,120,0,2
2.25,"y","p","x",10,"t","f",0,176,0,2
0.75,"u","g","c",0.795,"t","t",5,140,5,2
3.5,"u","g","w",3.5,"t","t",3,329,0,2
1.04,"y","p","ff",0.5,"t","t",3,180,147,2
12.5,"u","g","w",0.875,"t","f",0,260,0,2
0.75,"u","g","k",1,"t","t",3,212,0,2
1.25,"y","p","c",1.375,"t","t",3,140,210,2
1.125,"u","g","q",1.29,"t","t",2,200,0,2
7,"u","g","q",11.5,"t","t",7,300,5,2
6.5,"u","g","k",6.29,"t","t",15,0,11202,1
7.04,"u","g","m",14,"t","t",6,360,1332,1
10.335,"u","g","cc",0.335,"t","t",1,80,50,1
6.21,"u","g","q",0.04,"t","t",1,200,300,1
12.5,"u","g","cc",1.21,"t","t",67,140,258,1
12.5,"u","g","aa",1.5,"t","t",12,120,567,1
6.665,"u","g","q",7.375,"t","t",3,0,0,1
9,"u","g","q",8.5,"t","t",5,120,0,1
5,"u","g","x",7.5,"t","t",6,0,1000,1
2.5,"u","g","m",2.5,"t","t",12,410,2510,1
11,"u","g","q",2.5,"t","t",7,100,809,1
4.25,"u","g","i",3.25,"t","t",2,274,610,1
3.5,"u","g","w",0.835,"t","f",0,280,0,1
5.5,"u","g","e",13,"t","t",1,0,0,1
1.835,"u","g","c",2.25,"t","t",1,100,150,1
8,"u","g","e",6.5,"t","t",6,375,51100,1
5,"u","g","c",2.5,"t","t",6,0,367,1
5.5,"u","g","q",5.5,"t","t",12,408,1000,1
6.5,"u","g","q",6,"t","f",0,350,0,1
0.54,"y","p","aa",0.5,"t","t",3,200,1000,1
2.75,"u","g","m",4.25,"t","t",6,204,0,1
9.5,"u","g","w",1.625,"t","t",6,40,600,1
13.5,"u","g","q",5,"t","t",2,0,5000,1
3.75,"u","g","cc",0.625,"t","t",9,181,0,1
16,"u","g","j",0,"t","t",15,0,247,1
0.29,"y","p","cc",1.75,"t","t",8,100,375,1
11,"u","g","w",2,"t","t",1,80,278,1
1.665,"u","g","cc",5.085,"t","t",9,399,827,1
2.5,"u","g","cc",2.75,"t","t",6,160,2072,1
1.5,"u","g","q",2.375,"t","t",3,0,582,1
7.54,"y","p","q",8,"t","t",14,0,2300,1
6.5,"u","g","c",4,"t","t",7,0,3065,1
15,"u","g","c",5.5,"t","t",14,0,2200,1
0.46,"u","g","cc",0.415,"t","t",11,440,6,1
10,"u","g","q",4,"t","t",14,0,1602,1
6.5,"u","g","m",4.25,"t","t",12,93,0,1
2.5,"u","g","c",1.085,"t","t",11,60,2184,1
1.5,"u","g","cc",5.5,"t","t",3,0,0,1
11.5,"y","p","j",0,"t","t",11,0,0,1
3.04,"y","p","x",2.54,"t","t",1,70,0,1
15,"u","g","e",0,"t","t",14,0,3376,1
2,"u","g","k",4.165,"t","t",2,181,0,1
0.08,"y","p","m",0.04,"t","t",1,280,2000,1
2,"u","g","x",1,"t","t",4,140,7544,1
2,"u","g","m",1.75,"t","t",2,0,15,1
1.71,"u","g","x",1.665,"t","t",1,395,20,1
1.75,"y","p","e",0.04,"t","f",0,393,0,1
16.5,"u","g","q",11,"t","f",0,21,10561,1
10,"u","g","q",1.75,"t","f",0,29,837,1
9.5,"u","g","q",1,"t","f",0,60,400,1
0.54,"u","g","cc",0.04,"t","f",0,440,11177,1
3.25,"u","g","q",9,"t","f",0,102,639,1
1.125,"y","p","d",1.5,"f","f",0,431,0,1
2.54,"y","p","aa",0.25,"t","f",0,370,0,1
0,"u","g","c",15,"t","f",0,0,0,1
12.5,"u","g","k",8,"t","f",0,24,2028,1
13.585,"u","g","k",8.5,"t","f",0,0,0,1
10.5,"u","g","q",1.335,"t","f",0,100,0,1
1.5,"y","p","w",0.375,"t","f",0,260,1065,1
12.5,"u","g","aa",3,"t","f",0,20,0,1
8.665,"u","g","aa",1.415,"t","f",0,160,150,1
9.25,"u","g","q",1.21,"t","t",4,60,540,1
8.17,"u","g","aa",1.96,"t","t",14,60,158,1
0.29,"u","g","c",15,"t","t",20,0,15000,1
2.335,"u","g","i",0.5,"t","t",4,80,0,1
3,"u","g","q",0.165,"t","t",3,100,6,1
19.5,"u","g","c",5.5,"t","t",7,0,3000,1
5.665,"u","g","q",2.585,"t","t",7,129,3257,1
8.5,"u","g","c",12.5,"t","t",9,181,1655,1
6.5,"u","g","aa",3.5,"t","t",1,0,500,1
5,"u","g","c",5,"t","t",7,0,3065,1
1.04,"u","g","c",2.5,"t","t",5,300,1430,1
4.625,"u","g","q",1.625,"t","t",2,0,0,1
10.5,"u","g","c",3,"t","f",0,0,0,1
0.205,"u","g","i",5.125,"t","f",0,400,0,1
0.96,"u","g","x",2.5,"t","f",0,510,600,1
1.585,"y","p","w",3.085,"t","t",6,80,0,1
4.04,"y","p","i",8.5,"t","t",7,195,0,1
5.04,"y","p","c",1.5,"t","t",8,144,7,1
3.165,"y","p","x",3.165,"t","t",3,380,0,1
7.625,"u","g","w",15.5,"t","t",12,0,790,1
2.04,"y","p","aa",2,"t","t",3,370,560,1
10.04,"u","g","x",0.04,"t","t",9,60,396,1
0.5,"u","g","q",1.25,"t","t",1,0,678,1
1,"u","g","i",2.25,"t","f",0,0,300,1
2.75,"u","g","c",2.25,"t","t",6,0,600,1
10.25,"u","g","q",0.71,"t","t",2,49,0,1
2.125,"y","p","w",0.085,"t","t",1,50,1187,1
12,"u","g","q",14,"t","t",8,0,6590,1
0,"l","gg","ff",0,"f","f",0,120,0,1
9.335,"u","g","q",5.665,"t","t",6,381,168,1
2.5,"u","g","k",4.5,"t","t",7,150,1270,1
4.25,"u","g","c",6.5,"t","t",16,117,1210,1
5.875,"u","g","cc",10,"t","t",14,399,0,1
6.625,"y","p","d",5.5,"t","f",0,100,0,1
14.5,"u","g","ff",18,"t","t",15,0,1000,1
11.5,"u","g","i",3.5,"t","t",9,56,742,1
2.71,"y","p","cc",5.25,"t","t",1,211,0,1
3.5,"u","g","aa",3.5,"t","f",0,230,0,1
4.04,"u","g","cc",7,"t","t",8,320,0,1
11.5,"u","g","ff",5,"t","t",5,0,8851,1
9.625,"u","g","e",8.665,"t","t",5,0,0,1
9.25,"y","p","c",1,"t","t",4,80,500,1
12.54,"u","g","aa",2.29,"t","t",3,156,0,1
11,"u","g","e",20,"t","t",7,22,0,1
9,"u","g","aa",1.375,"t","f",0,0,0,1
9.54,"u","g","aa",0.085,"t","f",0,100,0,1
5.5,"u","g","q",0.125,"t","f",0,228,0,1
4,"u","g","c",0.25,"t","f",0,160,0,1
5.5,"u","g","k",0.5,"t","f",0,80,0,1
8.46,"y","p","x",2.46,"f","f",0,164,0,1
0.375,"u","g","q",2,"t","t",2,80,0,1
11,"u","g","cc",0.665,"t","f",0,100,0,1
3.5,"u","g","cc",0.625,"t","t",7,0,7059,1
3,"u","g","x",13.875,"t","t",2,519,1704,1
1.75,"u","g","x",4.5,"t","t",4,253,857,1
13.75,"u","g","w",5.75,"t","f",0,487,500,1
21,"u","g","i",10,"t","t",13,0,6700,1
1.835,"u","g","q",2.085,"t","t",5,220,2503,1
0.25,"u","g","i",0,"t","f",0,0,0,1
7.5,"u","g","aa",1.415,"t","t",1,80,9800,1
4.625,"u","g","q",4.58,"t","f",0,0,0,1
10.125,"u","g","x",2.5,"t","t",6,520,196,1
10,"y","p","c",2.5,"t","f",0,40,0,1
25.085,"u","g","w",1.75,"t","t",3,120,14,1
5,"u","g","w",11,"t","f",0,70,0,1
7.5,"u","g","q",2.71,"t","t",5,0,26726,1
2,"u","g","i",1.5,"t","t",2,120,300,1
3.04,"y","p","c",2.04,"t","t",1,180,18027,1
8.5,"u","g","cc",14,"t","t",1,88,2000,1
0.21,"u","g","q",0.29,"t","t",11,80,99,1
12.75,"u","g","c",4.75,"t","t",2,73,444,1
11,"u","g","x",0.29,"t","t",6,121,0,1
21.5,"u","g","e",20,"t","t",11,0,1200,1
5,"u","g","q",5,"t","t",6,470,0,1
11,"u","g","x",1,"t","t",11,0,3000,1
11.125,"u","g","x",0.46,"t","t",1,100,0,1
0.625,"u","g","k",0.25,"f","f",0,380,2010,2
10.25,"u","g","c",1.085,"f","f",0,320,13,2
11.045,"u","g","c",2,"f","f",0,136,0,2
0,"u","g","d",0.5,"f","f",0,144,0,2
9.54,"u","g","i",0.04,"f","f",0,200,1000,2
1.75,"y","p","c",0.165,"f","f",0,132,0,2
2.335,"u","g","d",5.75,"f","f",0,292,0,2
0,"y","p","ff",0,"f","f",0,0,0,2
1.335,"u","g","i",0.335,"f","f",0,0,120,2
10.5,"y","p","x",0,"f","f",0,154,32,2
0.585,"u","g","ff",0,"f","f",0,145,0,2
0.085,"y","p","c",0.04,"f","f",0,140,722,2
1.21,"y","p","e",0,"f","f",0,100,0,2
6,"u","g","d",1.25,"f","f",0,272,0,2
1.54,"u","g","q",0.125,"t","f",0,260,0,1
0.165,"u","g","q",0.21,"f","f",0,200,40,1
0,"u","g","aa",0,"f","f",0,0,0,1
2.5,"u","g","c",1.25,"f","f",0,280,0,2
6.75,"y","p","m",0.04,"f","f",0,140,0,2
10.125,"y","p","k",0.125,"f","f",0,160,0,2
2.5,"u","g","cc",2.25,"f","f",0,340,0,2
5.71,"u","g","d",0.54,"f","f",0,120,0,2
5.415,"u","g","i",0.29,"f","f",0,80,484,2
10,"y","p","q",0.165,"f","f",0,340,0,2
13.5,"y","p","ff",0,"f","f",0,0,0,2
0.835,"u","g","m",0.085,"t","f",0,200,0,2
0.875,"y","p","c",0.25,"f","f",0,280,204,2
0.585,"y","p","cc",0.125,"f","f",0,240,1,2
4.46,"u","g","c",0.25,"f","f",0,80,0,2
1.25,"u","g","q",0.25,"f","t",1,108,98,2
12.625,"u","g","c",0.125,"f","t",2,0,5552,2
10,"u","g","w",0.165,"f","t",1,120,1,2
1.5,"u","g","ff",0,"f","t",2,200,105,2
0.58,"u","g","w",0.29,"f","t",1,340,2803,2
0.415,"y","p","c",0.165,"f","t",1,200,1,2
1.75,"y","p","j",0,"f","f",0,160,0,2
0.75,"u","g","m",0.5,"f","f",0,320,0,2
10,"u","g","w",1,"f","t",1,120,1,2
0.54,"u","g","w",0.165,"f","t",1,272,444,2
2.415,"u","g","w",0.125,"f","t",2,220,1,2
0.335,"u","g","ff",0,"f","t",1,160,126,2
3.125,"u","g","ff",3.04,"f","t",2,200,4,2
9,"u","g","ff",4,"f","t",1,70,6,2
2.5,"u","g","aa",1.75,"f","t",2,720,0,2
2.75,"u","g","aa",0.665,"f","t",1,80,21,2
12.125,"u","g","c",3.335,"f","t",2,180,173,2
2,"u","g","ff",6.5,"f","t",1,0,10,2
0.165,"u","g","d",0.25,"f","f",0,280,0,2
1,"u","g","c",0.5,"f","f",0,280,0,2
2.875,"u","g","q",0.085,"f","f",0,120,0,2
13.665,"u","g","q",1.5,"f","f",0,280,1,2
26.335,"y","p","ff",0,"t","f",0,0,0,2
2.75,"u","g","ff",4.5,"f","f",0,160,25,2
10.29,"u","g","ff",0.415,"f","f",0,80,0,2
1.29,"u","g","k",0.25,"f","f",0,140,0,2
3,"y","p","j",0,"f","f",0,160,20,2
4.5,"u","g","w",1,"f","f",0,360,6,2
1.75,"y","p","c",2.335,"f","f",0,112,6,2
0.21,"u","g","aa",0.125,"f","f",0,200,1,2
10,"u","g","d",0.415,"f","f",0,80,42,2
0,"y","p","aa",0.25,"f","f",0,60,0,2
0.75,"u","g","m",0.5,"t","f",0,320,0,2
0.25,"y","p","c",0.25,"f","f",0,280,204,2
22,"l","gg","ff",0,"f","f",0,450,1e+05,1
0,"y","p","m",0,"f","f",0,500,1,1
0.125,"y","p","c",1.5,"f","f",0,232,113,1
1.5,"u","g","w",1.5,"f","f",0,150,8,1
0.375,"l","gg","cc",10,"f","f",0,300,0,1
0.375,"u","g","cc",0.375,"f","f",0,300,44,1
0.205,"y","p","k",0.25,"t","t",11,380,2732,1
1.25,"u","g","w",1.165,"f","f",0,120,0,2
1.085,"y","p","x",1,"f","f",0,280,13,2
1.085,"y","p","c",0.04,"f","f",0,170,179,2
3.5,"u","g","i",0.5,"f","f",0,1160,0,2
2.5,"y","p","w",3,"f","f",0,200,0,2
4,"y","p","i",0.085,"f","f",0,411,0,2
0,"u","g","c",0,"f","f",0,0,0,2
2.5,"y","p","c",2.5,"f","f",0,0,2,2
2.5,"u","g","c",1,"f","f",0,460,16,2
12.5,"u","g","d",1,"f","f",0,180,1062,2
2.5,"u","g","cc",0.5,"f","f",0,348,0,2
0.75,"u","g","q",0.165,"f","f",0,220,251,2
6.5,"u","g","c",1,"f","f",0,0,228,2
1.25,"y","p","i",0.5,"f","f",0,160,0,2
3,"y","p","aa",2,"f","f",0,180,0,2
3,"u","g","w",0.75,"f","f",0,300,67,2
4,"u","g","c",3,"f","f",0,480,0,2
4.085,"u","g","aa",0.04,"f","f",0,108,100,2
2.25,"u","g","i",0.5,"f","f",0,640,4000,2
2.75,"u","g","i",0,"f","f",0,180,0,2
