"checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","property_magnitude","other_payment_plans","existing_credits","class"
"<0",6,"existing paid","furniture/equipment","<100",">=7",2,"life insurance","bank",1,1
"<0",18,"existing paid","new car","<100","<1",1,"car","none",1,2
"0<=X<200",12,"existing paid","business","100<=X<500","4<=X<7",2,"real estate","none",1,1
"no checking",30,"critical/other existing credit","radio/tv","<100","4<=X<7",4,"car","none",2,1
"no checking",12,"delayed previously","repairs",">=1000",">=7",4,"no known property","none",2,2
"<0",24,"existing paid","new car","no known savings","4<=X<7",4,"no known property","none",1,2
">=200",6,"critical/other existing credit","new car","<100","1<=X<4",1,"real estate","none",3,1
">=200",15,"critical/other existing credit","radio/tv","no known savings","1<=X<4",3,"no known property","none",2,2
"no checking",24,"existing paid","new car","<100","1<=X<4",2,"real estate","none",1,1
"<0",12,"critical/other existing credit","new car","<100",">=7",4,"life insurance","none",2,2
"no checking",15,"critical/other existing credit","new car","no known savings",">=7",1,"car","none",1,1
"<0",18,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"real estate","none",2,2
"<0",12,"existing paid","radio/tv","<100","1<=X<4",4,"life insurance","none",1,1
"no checking",21,"critical/other existing credit","new car","no known savings",">=7",4,"no known property","none",1,2
"no checking",24,"critical/other existing credit","new car","100<=X<500","4<=X<7",4,"life insurance","none",2,1
"0<=X<200",12,"existing paid","radio/tv","<100",">=7",3,"real estate","bank",2,1
"<0",30,"existing paid","furniture/equipment","<100","<1",2,"life insurance","none",1,2
"no checking",15,"existing paid","used car","no known savings","<1",1,"real estate","none",1,1
"0<=X<200",12,"critical/other existing credit","furniture/equipment","<100",">=7",1,"car","none",3,1
"no checking",12,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate","none",2,1
"no checking",24,"existing paid","used car","no known savings",">=7",2,"real estate","none",1,1
"<0",36,"critical/other existing credit","education","<100","1<=X<4",3,"no known property","none",2,2
"no checking",21,"critical/other existing credit","used car","<100",">=7",1,"car","none",1,1
"no checking",24,"critical/other existing credit","radio/tv","100<=X<500",">=7",4,"life insurance","bank",2,1
">=200",12,"critical/other existing credit","new car","500<=X<1000","unemployed",2,"no known property","bank",3,1
"<0",24,"existing paid","new car","no known savings","1<=X<4",4,"real estate","none",1,2
"no checking",36,"critical/other existing credit","new car","<100","4<=X<7",4,"car","none",2,1
"<0",8.5,"existing paid","radio/tv","<100","4<=X<7",4,"real estate","none",1,1
"no checking",36,"critical/other existing credit","used car",">=1000",">=7",4,"car","none",2,1
"0<=X<200",18,"existing paid","repairs","<100","unemployed",2,"car","none",1,1
"0<=X<200",39,"critical/other existing credit","radio/tv","<100","4<=X<7",2,"real estate","none",2,2
"no checking",24,"critical/other existing credit","new car",">=1000",">=7",4,"real estate","none",1,1
"0<=X<200",21,"no credits/all paid","retraining","<100","1<=X<4",2,"real estate","none",1,1
"<0",12,"existing paid","new car","100<=X<500","<1",4,"life insurance","bank",1,2
"0<=X<200",20,"existing paid","used car","no known savings","unemployed",1,"real estate","none",1,1
"0<=X<200",18,"existing paid","business",">=1000","1<=X<4",4,"life insurance","none",1,1
"no checking",22,"existing paid","radio/tv","500<=X<1000",">=7",3,"car","none",1,1
"no checking",48,"critical/other existing credit","used car","no known savings",">=7",4,"car","none",2,1
"0<=X<200",48,"delayed previously","education","<100",">=7",4,"no known property","none",1,2
"<0",40,"critical/other existing credit","education","<100","1<=X<4",4,"no known property","bank",1,2
"0<=X<200",21,"existing paid","business","<100",">=7",2,"life insurance","none",1,2
"no checking",24,"existing paid","used car","no known savings",">=7",3,"car","none",1,1
"no checking",6,"critical/other existing credit","furniture/equipment","no known savings","1<=X<4",1,"life insurance","none",2,1
"<0",24,"existing paid","furniture/equipment","<100",">=7",3,"no known property","none",1,1
"no checking",24,"existing paid","furniture/equipment","500<=X<1000",">=7",4,"no known property","none",1,1
"no checking",9,"existing paid","furniture/equipment","100<=X<500","<1",2,"life insurance","none",1,1
"<0",18,"existing paid","used car","no known savings",">=7",1,"life insurance","none",1,2
"no checking",15,"critical/other existing credit","furniture/equipment","<100","<1",2,"life insurance","none",2,1
"no checking",24,"delayed previously","new car","no known savings",">=7",4,"car","none",2,1
"0<=X<200",9,"existing paid","new car","no known savings","<1",4,"real estate","none",1,1
"no checking",24,"critical/other existing credit","education","<100",">=7",4,"no known property","none",2,1
"0<=X<200",12,"critical/other existing credit","radio/tv","<100",">=7",3,"real estate","bank",2,1
"<0",20,"critical/other existing credit","furniture/equipment","<100",">=7",1,"life insurance","none",2,1
"no checking",12,"critical/other existing credit","radio/tv","no known savings",">=7",4,"car","none",2,1
"0<=X<200",12,"existing paid","new car","no known savings","unemployed",1,"real estate","none",1,1
"<0",30,"existing paid","new car","<100","4<=X<7",2,"car","none",1,2
"0<=X<200",6,"existing paid","radio/tv","<100","<1",3,"real estate","none",1,1
"no checking",15,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate","none",4,1
"0<=X<200",42,"all paid","used car","<100","unemployed",1,"no known property","bank",1,1
"0<=X<200",15,"no credits/all paid","new car","<100","<1",2,"real estate","none",2,2
"0<=X<200",8,"existing paid","business","<100","<1",3,"real estate","none",1,1
"0<=X<200",6,"existing paid","radio/tv","<100","4<=X<7",3,"real estate","bank",1,1
"<0",36,"critical/other existing credit","used car","<100","4<=X<7",4,"car","none",2,2
"<0",48,"existing paid","domestic appliance","<100","1<=X<4",3,"car","none",1,2
"<0",24,"existing paid","new car","<100","4<=X<7",4,"no known property","none",1,2
"0<=X<200",36,"delayed previously","new car","<100","1<=X<4",2,"life insurance","none",1,1
"no checking",6,"existing paid","domestic appliance","500<=X<1000","1<=X<4",1,"real estate","none",1,1
"no checking",6,"critical/other existing credit","radio/tv","<100","4<=X<7",1,"car","none",2,1
"<0",36,"existing paid","other","<100","unemployed",2,"car","none",1,1
"<0",18,"existing paid","radio/tv","<100","1<=X<4",4,"real estate","bank",1,2
"no checking",12,"existing paid","new car","<100","1<=X<4",3,"real estate","none",2,1
">=200",12,"existing paid","radio/tv","<100","1<=X<4",3,"car","none",1,1
"<0",36,"existing paid","furniture/equipment","<100",">=7",2,"life insurance","bank",1,2
"<0",8,"critical/other existing credit","new car","<100",">=7",4,"real estate","none",2,1
"no checking",18,"critical/other existing credit","furniture/equipment","<100","<1",3,"car","none",2,1
"<0",21,"critical/other existing credit","new car","<100",">=7",4,"car","none",2,1
"<0",18,"critical/other existing credit","new car","<100",">=7",1,"real estate","bank",3,2
"no checking",18,"no credits/all paid","business","<100","1<=X<4",2,"car","stores",2,2
"<0",36,"existing paid","used car","no known savings",">=7",3,"no known property","none",1,2
"0<=X<200",48,"delayed previously","business","no known savings","1<=X<4",4,"no known property","none",1,1
"no checking",24,"delayed previously","business","500<=X<1000","1<=X<4",4,"car","none",2,1
"<0",18,"existing paid","new car","<100","<1",4,"car","none",1,2
"<0",48,"no credits/all paid","business","<100",">=7",2,"car","none",2,2
"0<=X<200",24,"existing paid","radio/tv","no known savings",">=7",2,"car","none",1,1
">=200",15,"existing paid","radio/tv","<100","<1",2,"real estate","none",1,2
"<0",12,"no credits/all paid","new car","<100","1<=X<4",4,"car","bank",2,2
"no checking",12,"existing paid","radio/tv","no known savings","1<=X<4",4,"car","none",1,1
"no checking",4,"existing paid","furniture/equipment","<100","<1",1,"real estate","none",1,1
"<0",24,"critical/other existing credit","used car","<100",">=7",4,"life insurance","none",2,1
"no checking",24,"critical/other existing credit","radio/tv","<100",">=7",4,"real estate","none",2,1
"<0",36,"existing paid","furniture/equipment","<100","4<=X<7",4,"life insurance","none",1,2
"no checking",21,"delayed previously","used car","<100","1<=X<4",3,"real estate","stores",2,1
"<0",18,"existing paid","repairs","<100","<1",4,"real estate","none",1,2
"no checking",24,"all paid","business","<100","4<=X<7",4,"car","none",1,1
"no checking",18,"existing paid","furniture/equipment","<100",">=7",4,"life insurance","bank",3,1
"0<=X<200",21,"existing paid","furniture/equipment","no known savings","4<=X<7",2,"car","none",1,1
"no checking",18,"existing paid","new car","no known savings","1<=X<4",2,"car","none",2,2
"no checking",15,"existing paid","new car","<100","<1",4,"real estate","none",1,1
"<0",9,"existing paid","radio/tv","<100","4<=X<7",3,"real estate","none",1,1
"<0",12,"existing paid","radio/tv","<100",">=7",4,"real estate","stores",1,2
"<0",20,"critical/other existing credit","new car","<100","1<=X<4",4,"life insurance","bank",2,2
"no checking",24,"critical/other existing credit","used car","no known savings","4<=X<7",3,"life insurance","none",2,1
"no checking",15,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"no known property","none",2,1
"<0",18,"all paid","new car","<100","4<=X<7",4,"no known property","none",2,2
"no checking",36,"delayed previously","new car","<100",">=7",2,"car","none",2,1
"no checking",24,"existing paid","new car","100<=X<500","<1",4,"real estate","none",1,1
"no checking",10,"existing paid","retraining","no known savings","4<=X<7",4,"life insurance","none",1,1
"no checking",15,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"no known property","none",1,1
"<0",15,"existing paid","new car","<100","1<=X<4",3,"life insurance","none",1,2
"no checking",9,"existing paid","new car","100<=X<500","1<=X<4",1,"real estate","none",1,1
"no checking",24,"critical/other existing credit","used car",">=1000","1<=X<4",4,"real estate","none",2,1
"no checking",18,"delayed previously","business","<100","1<=X<4",4,"car","none",1,2
"<0",24,"existing paid","radio/tv","<100","<1",4,"real estate","none",1,2
"no checking",27,"critical/other existing credit","furniture/equipment",">=1000","<1",4,"real estate","stores",2,1
"<0",10,"existing paid","furniture/equipment","<100","1<=X<4",2,"real estate","bank",1,2
"no checking",15,"existing paid","furniture/equipment","500<=X<1000","1<=X<4",2,"car","none",1,1
"<0",18,"existing paid","radio/tv","<100","<1",4,"car","stores",1,1
"no checking",12,"critical/other existing credit","furniture/equipment","<100",">=7",2,"life insurance","stores",1,1
"no checking",36,"existing paid","business","no known savings",">=7",3,"life insurance","none",2,1
"<0",12,"existing paid","furniture/equipment","<100",">=7",4,"life insurance","none",1,1
"no checking",36,"delayed previously","furniture/equipment","500<=X<1000","4<=X<7",2,"car","none",2,1
">=200",6,"critical/other existing credit","new car","<100",">=7",1,"real estate","none",2,1
"<0",24,"critical/other existing credit","business","100<=X<500","4<=X<7",4,"real estate","none",2,1
"no checking",15,"existing paid","domestic appliance","no known savings","<1",4,"real estate","none",1,1
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"life insurance","none",1,1
"0<=X<200",11,"critical/other existing credit","new car",">=1000","1<=X<4",4,"car","none",2,1
"<0",18,"all paid","radio/tv","<100","<1",3,"no known property","bank",1,1
"no checking",36,"existing paid","radio/tv","<100",">=7",4,"car","none",1,1
"<0",24,"existing paid","new car","<100","<1",3,"no known property","none",1,2
"no checking",30,"critical/other existing credit","radio/tv","no known savings","4<=X<7",2,"life insurance","none",2,1
"no checking",24,"existing paid","used car","<100","4<=X<7",3,"car","none",1,1
"no checking",24,"existing paid","used car","no known savings","1<=X<4",2,"no known property","none",1,1
"0<=X<200",30,"critical/other existing credit","new car","no known savings",">=7",4,"real estate","none",2,1
"no checking",18,"critical/other existing credit","radio/tv","<100","unemployed",4,"car","none",2,1
"0<=X<200",24,"existing paid","furniture/equipment","<100","4<=X<7",3,"car","none",1,2
"<0",12,"existing paid","education","<100","<1",4,"life insurance","none",1,2
"0<=X<200",24,"critical/other existing credit","business","no known savings","4<=X<7",4,"no known property","none",2,1
"0<=X<200",48,"existing paid","business","<100","1<=X<4",2,"car","none",1,2
"no checking",36,"critical/other existing credit","new car","<100",">=7",4,"car","none",2,1
"no checking",24,"all paid","used car","no known savings","<1",3,"real estate","bank",2,1
"<0",27,"critical/other existing credit","business","<100",">=7",4,"car","stores",4,1
"no checking",15,"critical/other existing credit","radio/tv","<100",">=7",4,"car","none",2,1
"<0",12,"critical/other existing credit","new car","<100","1<=X<4",4,"life insurance","none",2,1
"0<=X<200",24,"critical/other existing credit","used car","<100","1<=X<4",3,"car","none",2,1
"no checking",18,"critical/other existing credit","radio/tv","no known savings","1<=X<4",4,"life insurance","none",2,1
"no checking",36,"delayed previously","used car","no known savings","4<=X<7",3,"car","stores",1,1
"<0",21,"existing paid","radio/tv","<100","<1",4,"life insurance","none",1,1
"no checking",12,"critical/other existing credit","furniture/equipment",">=1000","4<=X<7",3,"life insurance","none",1,1
"no checking",15,"existing paid","furniture/equipment","no known savings","4<=X<7",1,"real estate","bank",1,1
"<0",18,"existing paid","furniture/equipment","<100","1<=X<4",2,"car","none",1,2
"<0",18,"critical/other existing credit","new car","<100",">=7",2,"life insurance","none",1,2
"no checking",20,"critical/other existing credit","new car","no known savings","<1",2,"real estate","none",2,1
"no checking",36,"critical/other existing credit","used car","no known savings",">=7",2,"no known property","none",2,1
"no checking",15,"existing paid","radio/tv","no known savings","1<=X<4",4,"real estate","none",1,1
"no checking",24,"existing paid","radio/tv","<100",">=7",4,"real estate","none",1,1
"<0",12,"existing paid","radio/tv","<100","1<=X<4",2,"real estate","none",1,1
"<0",21,"existing paid","new car","no known savings","4<=X<7",2,"real estate","none",1,1
"0<=X<200",36,"existing paid","education","no known savings","1<=X<4",2,"car","none",1,1
"no checking",15,"delayed previously","used car","<100","<1",1,"life insurance","none",2,1
"0<=X<200",9,"existing paid","new car","no known savings","1<=X<4",1,"real estate","none",1,1
"no checking",36,"delayed previously","radio/tv","<100","1<=X<4",4,"real estate","none",2,1
"0<=X<200",24,"critical/other existing credit","furniture/equipment","<100","<1",2,"car","bank",1,2
"0<=X<200",30,"existing paid","radio/tv","no known savings",">=7",2,"car","none",1,1
"no checking",11,"existing paid","business",">=1000",">=7",1,"real estate","none",1,1
"<0",24,"all paid","business","<100","1<=X<4",4,"life insurance","none",1,2
"0<=X<200",48,"no credits/all paid","other","<100","1<=X<4",1,"life insurance","bank",1,2
"0<=X<200",10,"existing paid","used car","100<=X<500","1<=X<4",1,"real estate","none",1,1
"<0",6,"existing paid","new car","<100",">=7",1,"no known property","bank",1,2
"<0",24,"existing paid","furniture/equipment","100<=X<500","unemployed",1,"life insurance","none",1,2
"<0",24,"existing paid","furniture/equipment","<100",">=7",4,"life insurance","none",1,2
"no checking",18,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"no known property","none",2,1
"no checking",48,"delayed previously","radio/tv","500<=X<1000","4<=X<7",4,"car","none",1,1
"<0",9,"existing paid","radio/tv","<100","<1",3,"life insurance","none",1,2
"0<=X<200",12,"existing paid","new car","<100","4<=X<7",3,"life insurance","none",1,1
"<0",24,"all paid","furniture/equipment","<100","<1",2,"life insurance","bank",1,2
"<0",12,"all paid","new car","<100","<1",4,"car","none",2,2
"<0",18,"critical/other existing credit","furniture/equipment","<100","<1",4,"life insurance","none",1,1
"<0",48,"existing paid","used car","<100","4<=X<7",4,"no known property","stores",3,2
"no checking",30,"existing paid","radio/tv","no known savings",">=7",4,"car","none",1,1
"<0",11.5,"delayed previously","new car","<100","1<=X<4",4,"real estate","none",2,1
"<0",13.5,"existing paid","furniture/equipment","<100","<1",4,"life insurance","none",1,1
"0<=X<200",9,"existing paid","radio/tv","<100","<1",4,"car","none",1,2
"no checking",9,"critical/other existing credit","new car","<100","1<=X<4",3,"real estate","none",2,1
"no checking",12,"critical/other existing credit","radio/tv","500<=X<1000",">=7",4,"life insurance","none",2,1
"<0",12,"existing paid","radio/tv","<100","1<=X<4",4,"car","bank",1,1
"0<=X<200",30,"delayed previously","radio/tv","100<=X<500","<1",4,"no known property","stores",2,2
">=200",9,"existing paid","radio/tv","<100","1<=X<4",3,"real estate","none",1,2
"0<=X<200",6,"existing paid","radio/tv","<100","<1",4,"car","none",1,1
"0<=X<200",36,"existing paid","education","<100","1<=X<4",4,"no known property","none",1,2
"no checking",24,"critical/other existing credit","used car","no known savings","1<=X<4",2,"life insurance","none",2,1
"no checking",12,"existing paid","new car","no known savings","<1",2,"life insurance","none",1,1
"no checking",10,"existing paid","new car","<100","1<=X<4",3,"real estate","none",1,1
"no checking",24,"existing paid","furniture/equipment","no known savings","4<=X<7",4,"car","stores",1,1
"no checking",4,"critical/other existing credit","new car","<100","4<=X<7",2,"real estate","none",3,1
"<0",15,"existing paid","furniture/equipment","<100","<1",4,"life insurance","none",1,1
"0<=X<200",48,"no credits/all paid","new car","500<=X<1000","<1",1,"car","none",2,1
"<0",24,"all paid","furniture/equipment","500<=X<1000","<1",4,"no known property","none",1,2
"no checking",12,"existing paid","new car","no known savings","unemployed",4,"no known property","none",1,1
"no checking",18,"existing paid","furniture/equipment","<100","<1",4,"life insurance","none",1,2
"no checking",24,"existing paid","radio/tv","100<=X<500",">=7",2,"car","none",2,2
"0<=X<200",18,"critical/other existing credit","business","<100","unemployed",3,"car","none",3,1
"<0",36,"delayed previously","business","<100","4<=X<7",2,"car","none",2,2
"0<=X<200",24,"existing paid","used car","500<=X<1000","<1",3,"car","none",1,2
"no checking",36,"existing paid","furniture/equipment","<100","unemployed",4,"car","none",2,2
"<0",12,"existing paid","new car","<100","1<=X<4",4,"life insurance","none",1,1
"<0",24,"critical/other existing credit","radio/tv",">=1000",">=7",4,"life insurance","none",2,1
">=200",30,"critical/other existing credit","radio/tv","no known savings",">=7",4,"life insurance","stores",2,1
"0<=X<200",9,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate","none",3,1
"<0",28,"existing paid","new car","<100","1<=X<4",3,"car","none",1,2
"0<=X<200",24,"existing paid","furniture/equipment","100<=X<500",">=7",4,"no known property","none",1,1
"no checking",6,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate","none",2,1
"0<=X<200",21,"delayed previously","new car","<100","1<=X<4",1,"life insurance","none",2,1
"no checking",15,"existing paid","new car","no known savings","1<=X<4",3,"no known property","none",1,1
"no checking",24,"existing paid","radio/tv","500<=X<1000",">=7",3,"car","bank",2,2
"0<=X<200",6,"existing paid","repairs","<100","<1",3,"life insurance","none",1,1
"0<=X<200",30,"existing paid","radio/tv","no known savings","1<=X<4",4,"car","none",1,1
"0<=X<200",27,"critical/other existing credit","radio/tv","500<=X<1000","1<=X<4",4,"life insurance","none",2,2
"no checking",15,"existing paid","radio/tv","<100",">=7",4,"car","bank",1,1
"no checking",21.5,"existing paid","radio/tv","no known savings","4<=X<7",2,"life insurance","none",1,1
"<0",11,"critical/other existing credit","new car","<100","1<=X<4",1,"real estate","none",2,1
"0<=X<200",15,"existing paid","repairs","100<=X<500","1<=X<4",4,"real estate","none",1,1
"no checking",24,"existing paid","new car","<100","1<=X<4",1,"life insurance","none",1,1
"<0",24,"all paid","new car","<100","unemployed",1,"no known property","none",2,2
"<0",60,"existing paid","business","<100",">=7",4,"no known property","none",1,2
"no checking",30,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"car","none",1,1
">=200",24,"existing paid","radio/tv","500<=X<1000","1<=X<4",3,"car","none",1,1
"0<=X<200",6,"existing paid","radio/tv","<100","1<=X<4",2,"real estate","none",1,1
"0<=X<200",18,"delayed previously","business","no known savings",">=7",4,"life insurance","none",2,1
"0<=X<200",24,"delayed previously","new car","<100",">=7",4,"car","none",2,2
"0<=X<200",15,"all paid","new car","100<=X<500","1<=X<4",2,"life insurance","none",1,2
"0<=X<200",30,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance","none",1,2
"no checking",48,"existing paid","business","<100","unemployed",3,"car","bank",1,2
">=200",15,"existing paid","new car","100<=X<500","1<=X<4",1,"car","bank",1,1
"<0",36,"existing paid","used car","<100","1<=X<4",2,"life insurance","none",1,2
"0<=X<200",24,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance","none",2,1
"<0",15,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"life insurance","none",2,1
">=200",42,"no credits/all paid","business","<100","<1",2,"life insurance","none",2,1
"no checking",13,"existing paid","radio/tv","100<=X<500","unemployed",2,"real estate","none",1,1
"<0",24,"existing paid","used car","<100","unemployed",4,"no known property","none",1,1
"0<=X<200",24,"critical/other existing credit","radio/tv","<100",">=7",4,"life insurance","none",2,1
"no checking",12,"critical/other existing credit","education","no known savings","<1",2,"life insurance","none",2,1
"no checking",15,"all paid","radio/tv","100<=X<500",">=7",4,"car","bank",1,1
"<0",18,"existing paid","radio/tv","no known savings","4<=X<7",2,"car","none",2,1
"<0",36,"existing paid","furniture/equipment","<100","unemployed",4,"life insurance","none",1,1
"no checking",12,"existing paid","new car","no known savings",">=7",4,"car","none",1,1
"no checking",12,"existing paid","furniture/equipment","<100","4<=X<7",3,"real estate","none",1,1
"<0",30,"existing paid","used car","<100","1<=X<4",4,"life insurance","none",1,1
"no checking",12,"existing paid","radio/tv","<100",">=7",4,"car","none",1,1
"<0",45,"existing paid","radio/tv","<100","1<=X<4",4,"no known property","none",1,2
"0<=X<200",45,"critical/other existing credit","used car","100<=X<500","unemployed",3,"car","none",1,1
