"checking_status","duration","credit_history","purpose","savings_status","employment","property_magnitude","other_payment_plans","foreign_worker","class","static_obvious"
"no checking",24,"critical/other existing credit","furniture/equipment","<100","4<=X<7","life insurance","none","yes",1,1
"0<=X<200",18,"existing paid","radio/tv","<100",">=7","real estate","none","yes",1,1
">=200",6,"critical/other existing credit","new car","100<=X<500",">=7","car","none","yes",1,1
"<0",24,"existing paid","new car","<100","<1","life insurance","none","yes",2,1
"<0",36,"existing paid","used car","<100",">=7","no known property","none","yes",1,1
">=200",18,"existing paid","radio/tv","100<=X<500",">=7","real estate","none","yes",1,1
"0<=X<200",24,"critical/other existing credit","radio/tv","100<=X<500","<1","no known property","bank","yes",2,1
"<0",24,"existing paid","new car","<100","<1","life insurance","none","yes",2,1
"no checking",10,"existing paid","new car","no known savings","1<=X<4","life insurance","none","yes",2,1
">=200",15,"critical/other existing credit","used car","500<=X<1000","1<=X<4","car","none","yes",1,1
"0<=X<200",15,"all paid","new car","100<=X<500","unemployed","life insurance","none","yes",2,1
"no checking",24,"existing paid","radio/tv","<100","1<=X<4","life insurance","other","yes",1,1
"no checking",39,"existing paid","used car","100<=X<500",">=7","car","none","yes",1,1
"<0",12,"existing paid","new car","<100","4<=X<7","real estate","none","yes",2,1
"no checking",36,"existing paid","used car","<100","1<=X<4","no known property","none","yes",1,1
">=200",15,"existing paid","business","<100","4<=X<7","life insurance","none","yes",1,1
"other",12,"delayed previously","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"no checking",24,"existing paid","new car","no known savings","<1","life insurance","none","yes",1,1
"<0",18,"critical/other existing credit","new car","<100","4<=X<7","life insurance","none","no",1,1
"other",6,"critical/other existing credit","new car","<100","<1","real estate","other","no",1,1
"no checking",36,"critical/other existing credit","furniture/equipment","<100","<1","life insurance","none","yes",2,1
"<0",6,"existing paid","new car","100<=X<500",">=7","life insurance","none","yes",1,1
"no checking",6,"critical/other existing credit","radio/tv","no known savings",">=7","no known property","none","yes",1,1
"no checking",24,"critical/other existing credit","repairs","<100",">=7","no known property","none","yes",1,1
"<0",18,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",2,1
"<0",48,"no credits/all paid","furniture/equipment","<100","1<=X<4","no known property","none","yes",2,1
"no checking",24,"existing paid","used car","100<=X<500","4<=X<7","car","none","yes",1,1
"0<=X<200",18,"existing paid","radio/tv","<100","1<=X<4","real estate","other","yes",1,1
"0<=X<200",26,"existing paid","used car","<100","<1","car","none","yes",1,1
"no checking",15,"critical/other existing credit","education","100<=X<500","1<=X<4","car","none","yes",1,1
"no checking",4,"critical/other existing credit","radio/tv","<100","4<=X<7","real estate","none","yes",1,1
"<0",36,"existing paid","radio/tv","<100","1<=X<4","car","none","yes",2,1
"other",6,"existing paid","new car","<100","<1","real estate","other","yes",1,1
"0<=X<200",36,"existing paid","education","<100","4<=X<7","car","none","yes",1,1
"0<=X<200",15,"existing paid","new car","100<=X<500","1<=X<4","car","other","yes",2,1
"no checking",12,"delayed previously","used car","<100","1<=X<4","real estate","none","yes",1,1
"no checking",18,"existing paid","radio/tv","100<=X<500","4<=X<7","life insurance","none","yes",1,1
"no checking",24,"existing paid","radio/tv","no known savings","<1","car","none","yes",1,1
">=200",21,"critical/other existing credit","education","<100","<1","car","none","yes",2,1
"<0",18,"existing paid","new car","no known savings","unemployed","life insurance","none","yes",1,1
"0<=X<200",18,"critical/other existing credit","furniture/equipment","<100",">=7","life insurance","none","yes",1,1
"<0",48,"existing paid","new car","<100",">=7","no known property","bank","yes",2,1
">=200",18,"existing paid","furniture/equipment","<100","<1","life insurance","stores","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","<100","<1","real estate","other","yes",2,1
"no checking",18,"delayed previously","new car","<100",">=7","no known property","none","yes",1,1
"<0",30,"existing paid","furniture/equipment","no known savings",">=7","life insurance","other","yes",2,1
"other",18,"existing paid","furniture/equipment","<100","1<=X<4","real estate","none","yes",2,1
"no checking",12,"critical/other existing credit","new car","<100",">=7","real estate","none","yes",1,1
"<0",24,"delayed previously","new car","<100","unemployed","real estate","none","yes",2,1
"no checking",24,"critical/other existing credit","new car","<100","1<=X<4","car","none","yes",1,1
"no checking",24,"existing paid","radio/tv","<100","4<=X<7","car","other","yes",1,1
"<0",12,"all paid","radio/tv","<100","1<=X<4","real estate","bank","yes",2,1
"no checking",18,"critical/other existing credit","used car","no known savings","4<=X<7","no known property","none","yes",1,1
"no checking",12,"critical/other existing credit","repairs","no known savings","4<=X<7","real estate","none","yes",1,1
"other",6,"all paid","radio/tv","500<=X<1000",">=7","life insurance","bank","yes",1,1
"<0",48,"existing paid","radio/tv","<100","4<=X<7","real estate","none","yes",2,1
"0<=X<200",12,"critical/other existing credit","new car","100<=X<500","<1","car","none","yes",1,1
"0<=X<200",9,"existing paid","education","<100","4<=X<7","life insurance","none","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","<100","<1","car","stores","yes",2,1
"0<=X<200",18,"no credits/all paid","new car","100<=X<500","<1","car","none","yes",2,1
"no checking",21,"no credits/all paid","new car","no known savings","1<=X<4","life insurance","bank","yes",2,1
"<0",24,"all paid","furniture/equipment","<100","4<=X<7","car","bank","yes",2,1
"0<=X<200",18,"critical/other existing credit","furniture/equipment","<100","<1","real estate","none","yes",2,1
"<0",24,"existing paid","used car","no known savings",">=7","no known property","bank","yes",1,1
"<0",24,"all paid","radio/tv","<100","4<=X<7","car","bank","yes",2,1
">=200",6,"delayed previously","radio/tv","<100","<1","life insurance","bank","yes",1,1
"0<=X<200",36,"existing paid","new car","no known savings","1<=X<4","no known property","none","yes",2,1
"0<=X<200",24,"delayed previously","business","no known savings","1<=X<4","life insurance","bank","yes",1,1
"0<=X<200",24,"delayed previously","radio/tv","100<=X<500","4<=X<7","life insurance","other","yes",1,1
"<0",12,"existing paid","new car","<100","4<=X<7","car","other","yes",2,1
"no checking",24,"critical/other existing credit","radio/tv",">=1000",">=7","car","none","yes",1,1
"0<=X<200",48,"existing paid","radio/tv","no known savings","4<=X<7","car","none","yes",1,1
"<0",48,"existing paid","radio/tv","<100","1<=X<4","car","none","yes",2,1
"<0",18,"existing paid","furniture/equipment","<100","<1","real estate","none","yes",2,1
"no checking",30,"critical/other existing credit","radio/tv","<100","4<=X<7","car","none","yes",1,1
"no checking",24,"existing paid","used car","no known savings","unemployed","life insurance","none","yes",1,1
"<0",15,"existing paid","business","<100","1<=X<4","life insurance","none","yes",1,1
"0<=X<200",9,"existing paid","radio/tv","<100",">=7","car","none","yes",1,1
"no checking",18,"critical/other existing credit","furniture/equipment","<100","4<=X<7","car","bank","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","<100","4<=X<7","real estate","none","yes",1,1
"no checking",24,"critical/other existing credit","education","no known savings","1<=X<4","car","none","yes",1,1
"0<=X<200",36,"critical/other existing credit","new car","<100","<1","car","none","yes",2,1
"no checking",24,"existing paid","retraining","<100","<1","car","none","yes",1,1
"other",18,"critical/other existing credit","new car","<100",">=7","real estate","bank","yes",2,1
"0<=X<200",12,"critical/other existing credit","new car","<100","<1","real estate","bank","yes",1,1
"no checking",9,"existing paid","furniture/equipment","<100","1<=X<4","real estate","other","yes",1,1
"0<=X<200",36,"existing paid","repairs","<100","<1","no known property","none","yes",2,1
"no checking",12,"existing paid","new car","no known savings",">=7","no known property","none","yes",1,1
"<0",18,"existing paid","furniture/equipment","<100","1<=X<4","real estate","bank","yes",2,1
"other",9,"critical/other existing credit","new car","<100","1<=X<4","real estate","none","yes",1,1
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4","life insurance","other","yes",1,1
"<0",18,"existing paid","domestic appliance","<100","1<=X<4","real estate","none","yes",2,1
"<0",18,"critical/other existing credit","furniture/equipment","<100",">=7","life insurance","none","yes",2,1
"<0",12,"critical/other existing credit","radio/tv","<100","4<=X<7","real estate","none","yes",1,1
"0<=X<200",24,"delayed previously","new car","no known savings","1<=X<4","car","none","yes",1,1
"no checking",21,"existing paid","business",">=1000",">=7","real estate","bank","yes",1,1
"0<=X<200",24,"existing paid","new car","<100","1<=X<4","life insurance","none","yes",2,1
"<0",24,"all paid","other","no known savings",">=7","car","stores","yes",2,1
"0<=X<200",6,"all paid","new car","100<=X<500","<1","life insurance","stores","yes",2,1
"<0",24,"existing paid","new car","<100","4<=X<7","car","none","yes",2,1
"0<=X<200",24,"no credits/all paid","business","<100","1<=X<4","real estate","none","yes",2,1
"other",18,"critical/other existing credit","new car","<100","4<=X<7","life insurance","bank","yes",2,1
"no checking",24,"delayed previously","business","<100","1<=X<4","no known property","none","yes",1,1
"0<=X<200",7,"existing paid","radio/tv","<100","<1","real estate","none","yes",1,1
"other",18,"existing paid","furniture/equipment","<100","1<=X<4","life insurance","none","yes",2,1
"0<=X<200",24,"all paid","education","<100","4<=X<7","no known property","bank","yes",2,1
"no checking",36,"existing paid","furniture/equipment","<100","1<=X<4","car","none","yes",2,1
">=200",10,"existing paid","furniture/equipment","<100","<1","life insurance","none","yes",1,1
"<0",18,"all paid","furniture/equipment","500<=X<1000","1<=X<4","real estate","stores","yes",1,1
"no checking",24,"critical/other existing credit","business","<100","1<=X<4","real estate","other","yes",1,1
"0<=X<200",36,"existing paid","radio/tv","100<=X<500","1<=X<4","no known property","none","yes",2,1
"other",18,"existing paid","radio/tv","<100","<1","real estate","none","yes",1,1
"no checking",15,"existing paid","used car","no known savings",">=7","no known property","bank","yes",1,1
"<0",12,"existing paid","domestic appliance","100<=X<500","unemployed","life insurance","none","yes",2,1
">=200",10,"existing paid","new car","100<=X<500",">=7","no known property","none","yes",2,1
"<0",21,"existing paid","radio/tv",">=1000","<1","car","other","yes",1,1
"<0",24,"all paid","used car","<100","1<=X<4","car","bank","no",1,1
"no checking",18,"delayed previously","furniture/equipment","<100","4<=X<7","real estate","none","yes",2,1
"0<=X<200",48,"no credits/all paid","business","no known savings","1<=X<4","car","bank","yes",1,1
"other",60,"delayed previously","radio/tv","no known savings","1<=X<4","no known property","none","yes",1,1
"other",6,"critical/other existing credit","new car","<100","1<=X<4","real estate","none","yes",1,1
"0<=X<200",30,"existing paid","furniture/equipment","100<=X<500","1<=X<4","car","none","yes",2,1
"no checking",12,"existing paid","new car","<100","1<=X<4","real estate","none","yes",1,1
"0<=X<200",21,"critical/other existing credit","business","<100","4<=X<7","life insurance","none","yes",1,1
"no checking",18,"critical/other existing credit","new car","<100","1<=X<4","life insurance","bank","yes",2,1
"no checking",48,"existing paid","business","no known savings","1<=X<4","real estate","bank","yes",2,1
"other",12,"existing paid","furniture/equipment","<100","<1","car","none","yes",1,1
"<0",18,"existing paid","radio/tv","<100","1<=X<4","no known property","none","yes",2,1
"no checking",15,"existing paid","radio/tv","no known savings",">=7","car","none","yes",1,1
">=200",6,"existing paid","furniture/equipment","<100","1<=X<4","real estate","other","yes",1,1
"0<=X<200",9,"all paid","new car","100<=X<500","4<=X<7","no known property","none","yes",2,1
"no checking",42,"critical/other existing credit","furniture/equipment","500<=X<1000","1<=X<4","real estate","none","yes",1,1
"no checking",9,"existing paid","education","no known savings",">=7","real estate","other","yes",1,1
"<0",24,"existing paid","radio/tv","<100","1<=X<4","car","none","yes",1,1
"<0",18,"all paid","furniture/equipment","<100","1<=X<4","car","bank","yes",2,1
"0<=X<200",15,"existing paid","radio/tv","no known savings","<1","life insurance","other","yes",1,1
"no checking",9,"existing paid","furniture/equipment","<100","<1","car","none","yes",2,1
"0<=X<200",24,"existing paid","new car","<100","<1","car","none","yes",2,1
"no checking",12,"existing paid","education","<100",">=7","life insurance","bank","yes",1,1
"no checking",24,"existing paid","radio/tv","500<=X<1000","4<=X<7","car","none","yes",1,1
"no checking",60,"delayed previously","radio/tv","<100","4<=X<7","car","other","yes",1,1
"no checking",12,"existing paid","radio/tv","<100","<1","car","none","yes",1,1
"<0",42,"delayed previously","radio/tv","<100","4<=X<7","life insurance","bank","yes",2,1
"<0",18,"existing paid","education","<100","unemployed","real estate","other","yes",2,1
"0<=X<200",15,"existing paid","repairs","<100",">=7","car","none","yes",1,1
"no checking",15,"existing paid","education","100<=X<500","1<=X<4","life insurance","none","yes",2,1
"no checking",24,"critical/other existing credit","radio/tv","<100","4<=X<7","car","none","yes",1,1
"<0",18,"critical/other existing credit","radio/tv","<100","4<=X<7","life insurance","none","yes",1,1
"no checking",36,"delayed previously","business","no known savings","<1","car","none","yes",2,1
"other",30,"no credits/all paid","furniture/equipment","<100","1<=X<4","real estate","other","yes",1,1
"no checking",12,"existing paid","new car","500<=X<1000","1<=X<4","life insurance","none","yes",2,1
">=200",24,"existing paid","new car","<100","4<=X<7","no known property","bank","yes",2,1
"<0",12,"existing paid","education","<100","1<=X<4","car","none","yes",2,1
"<0",48,"existing paid","education","<100","4<=X<7","no known property","none","yes",1,1
"0<=X<200",12,"existing paid","furniture/equipment","<100","1<=X<4","life insurance","none","yes",2,1
"<0",24,"existing paid","new car","<100",">=7","real estate","other","yes",2,1
"0<=X<200",18,"delayed previously","new car","100<=X<500",">=7","car","none","yes",2,1
"no checking",24,"critical/other existing credit","used car","<100","4<=X<7","car","none","yes",1,1
"<0",14,"existing paid","new car","<100","unemployed","no known property","none","yes",1,1
"0<=X<200",12,"existing paid","new car","<100",">=7","car","bank","yes",2,1
"no checking",48,"existing paid","radio/tv","no known savings","4<=X<7","car","stores","yes",1,1
"other",30,"no credits/all paid","business","<100","1<=X<4","car","none","yes",1,1
"0<=X<200",18,"critical/other existing credit","furniture/equipment","<100",">=7","no known property","none","yes",1,1
">=200",12,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"<0",12,"existing paid","new car","no known savings","1<=X<4","car","none","yes",2,1
"no checking",21,"existing paid","furniture/equipment","<100",">=7","real estate","none","yes",1,1
"0<=X<200",6,"delayed previously","furniture/equipment","<100","unemployed","life insurance","stores","yes",1,1
">=200",6,"critical/other existing credit","education","<100","1<=X<4","life insurance","none","yes",1,1
"no checking",24,"critical/other existing credit","other","<100","unemployed","no known property","bank","yes",1,1
"0<=X<200",18,"all paid","furniture/equipment",">=1000","1<=X<4","car","stores","yes",1,1
"no checking",48,"all paid","business","<100","1<=X<4","real estate","other","yes",1,1
"<0",12,"critical/other existing credit","new car","<100",">=7","life insurance","none","yes",2,1
">=200",30,"critical/other existing credit","radio/tv","<100",">=7","life insurance","none","yes",1,1
"no checking",18,"critical/other existing credit","business","100<=X<500","1<=X<4","life insurance","none","yes",1,1
"no checking",36,"existing paid","business","100<=X<500","4<=X<7","car","none","yes",1,1
"other",60,"existing paid","new car","<100",">=7","life insurance","none","yes",1,1
"no checking",6,"critical/other existing credit","new car","500<=X<1000","1<=X<4","car","other","yes",1,1
"no checking",21,"delayed previously","business","500<=X<1000","<1","real estate","bank","yes",2,1
"no checking",30,"critical/other existing credit","radio/tv","<100","4<=X<7","car","none","yes",1,1
"no checking",24,"critical/other existing credit","furniture/equipment","<100",">=7","car","none","yes",1,1
"0<=X<200",18,"existing paid","radio/tv","100<=X<500","1<=X<4","car","none","yes",2,1
"<0",24,"existing paid","radio/tv","<100",">=7","real estate","bank","yes",1,1
"no checking",18,"existing paid","radio/tv","<100","<1","real estate","none","yes",1,1
"no checking",6,"existing paid","education","<100","<1","no known property","none","yes",1,1
"no checking",12,"existing paid","radio/tv","no known savings","1<=X<4","no known property","none","yes",1,1
"no checking",18,"delayed previously","radio/tv","<100","1<=X<4","real estate","bank","yes",1,1
"no checking",24,"critical/other existing credit","radio/tv","<100","<1","no known property","none","yes",1,1
"0<=X<200",36,"delayed previously","business","100<=X<500","4<=X<7","life insurance","none","yes",1,1
"no checking",60,"existing paid","new car","no known savings","1<=X<4","no known property","other","yes",1,1
">=200",18,"critical/other existing credit","radio/tv","no known savings","4<=X<7","life insurance","none","yes",1,1
"0<=X<200",36,"delayed previously","new car","100<=X<500",">=7","no known property","none","yes",1,1
"no checking",9,"existing paid","radio/tv","100<=X<500",">=7","car","none","yes",1,1
"<0",12,"existing paid","new car",">=1000","1<=X<4","life insurance","none","yes",1,1
"<0",18,"critical/other existing credit","furniture/equipment","<100","1<=X<4","life insurance","other","yes",1,1
"0<=X<200",15,"existing paid","repairs","100<=X<500","1<=X<4","real estate","none","yes",1,1
"0<=X<200",24,"existing paid","radio/tv","100<=X<500","<1","car","none","yes",1,1
"<0",6,"critical/other existing credit","new car","no known savings","<1","real estate","other","yes",1,1
"no checking",24,"existing paid","radio/tv","<100","4<=X<7","car","none","yes",1,1
"no checking",6,"existing paid","used car","500<=X<1000","1<=X<4","life insurance","none","yes",1,1
"0<=X<200",12,"existing paid","radio/tv","<100","4<=X<7","real estate","other","no",1,1
"no checking",12,"critical/other existing credit","new car","<100","unemployed","life insurance","none","yes",1,1
"no checking",18,"critical/other existing credit","radio/tv","<100","1<=X<4","car","none","yes",1,1
"other",15,"existing paid","education","<100",">=7","car","none","yes",1,1
"no checking",12,"existing paid","furniture/equipment","500<=X<1000","1<=X<4","car","none","yes",2,1
"<0",18,"critical/other existing credit","used car","<100",">=7","no known property","none","yes",2,1
">=200",24,"existing paid","radio/tv","100<=X<500",">=7","no known property","none","yes",1,1
"0<=X<200",30,"delayed previously","business","100<=X<500",">=7","life insurance","stores","yes",1,1
"0<=X<200",27,"existing paid","business","<100","<1","life insurance","none","yes",1,1
"no checking",15,"existing paid","new car","500<=X<1000",">=7","no known property","other","yes",1,1
"0<=X<200",48,"existing paid","new car","100<=X<500","4<=X<7","life insurance","none","yes",2,1
"0<=X<200",18,"no credits/all paid","furniture/equipment","<100","<1","life insurance","none","yes",2,1
"0<=X<200",18,"existing paid","radio/tv","<100",">=7","real estate","none","yes",1,1
"0<=X<200",9,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"no checking",18,"critical/other existing credit","radio/tv","500<=X<1000",">=7","life insurance","other","yes",1,1
"<0",6,"all paid","education","<100",">=7","no known property","none","yes",2,1
"no checking",21,"existing paid","used car","no known savings",">=7","real estate","other","yes",1,1
"<0",9,"critical/other existing credit","radio/tv","<100","1<=X<4","real estate","none","yes",1,1
"0<=X<200",60,"existing paid","new car","<100","4<=X<7","no known property","none","yes",2,1
"no checking",30,"critical/other existing credit","used car","no known savings",">=7","car","none","yes",1,1
"no checking",30,"critical/other existing credit","radio/tv","no known savings",">=7","car","other","yes",1,1
"no checking",18,"existing paid","radio/tv","<100","1<=X<4","no known property","none","yes",1,1
">=200",24,"critical/other existing credit","radio/tv","no known savings","1<=X<4","car","none","yes",1,1
"0<=X<200",20,"no credits/all paid","used car","100<=X<500",">=7","car","bank","yes",1,1
">=200",9,"no credits/all paid","radio/tv","<100","<1","car","other","yes",2,1
"0<=X<200",6,"all paid","education",">=1000","<1","life insurance","bank","yes",2,1
"<0",12,"existing paid","new car","<100","1<=X<4","real estate","other","yes",2,1
"0<=X<200",9,"existing paid","radio/tv","500<=X<1000","1<=X<4","real estate","none","yes",1,1
"no checking",27,"existing paid","new car","<100","1<=X<4","real estate","none","yes",2,1
"no checking",6,"critical/other existing credit","new car",">=1000","1<=X<4","real estate","bank","yes",1,1
"other",15,"critical/other existing credit","radio/tv","500<=X<1000","1<=X<4","life insurance","other","yes",1,1
"<0",18,"existing paid","radio/tv","<100","1<=X<4","car","bank","yes",2,1
"0<=X<200",48,"all paid","business","<100",">=7","no known property","none","yes",2,1
">=200",24,"critical/other existing credit","business",">=1000","1<=X<4","real estate","none","yes",1,1
"0<=X<200",24,"delayed previously","radio/tv","<100","<1","car","none","yes",1,1
"<0",24,"existing paid","radio/tv","<100","1<=X<4","real estate","none","yes",2,1
"0<=X<200",8,"existing paid","radio/tv","<100","4<=X<7","real estate","other","yes",1,1
"no checking",24,"existing paid","used car",">=1000","1<=X<4","car","none","yes",1,1
"no checking",4,"critical/other existing credit","new car","<100","4<=X<7","real estate","none","yes",1,1
"0<=X<200",36,"all paid","domestic appliance","no known savings","<1","no known property","other","yes",1,1
"0<=X<200",24,"existing paid","used car","<100","1<=X<4","car","none","yes",2,1
"<0",18,"existing paid","new car","100<=X<500","1<=X<4","car","none","yes",1,1
"no checking",6,"critical/other existing credit","new car","<100","4<=X<7","no known property","none","yes",1,1
"0<=X<200",30,"no credits/all paid","business","100<=X<500","1<=X<4","car","none","yes",2,1
"<0",24,"all paid","new car","100<=X<500","4<=X<7","car","other","yes",1,1
"0<=X<200",10,"all paid","radio/tv","<100","1<=X<4","real estate","stores","yes",1,1
"no checking",21,"existing paid","radio/tv","no known savings",">=7","life insurance","none","yes",1,1
"<0",24,"all paid","furniture/equipment","500<=X<1000","1<=X<4","real estate","stores","yes",1,1
"<0",39,"critical/other existing credit","furniture/equipment","no known savings","4<=X<7","life insurance","none","yes",1,1
"<0",13,"critical/other existing credit","business","<100","<1","life insurance","bank","yes",1,1
"other",15,"existing paid","new car","<100","unemployed","car","none","yes",1,1
"<0",12,"existing paid","new car","<100","<1","real estate","none","yes",2,1
"no checking",18,"existing paid","used car","no known savings","1<=X<4","car","other","yes",1,1
"no checking",15,"existing paid","used car","<100","4<=X<7","car","none","yes",1,1
