"checking_status","duration","credit_history","purpose","savings_status","employment","installment_commitment","property_magnitude","age","other_payment_plans","class"
"<0",6,"existing paid","furniture/equipment","<100",">=7",2,"life insurance",49,"bank",1
"<0",18,"existing paid","new car","<100","<1",1,"car",23,"none",2
"0<=X<200",12,"existing paid","business","100<=X<500","4<=X<7",2,"real estate",23,"none",1
"no checking",30,"critical/other existing credit","radio/tv","<100","4<=X<7",4,"car",25,"none",1
"no checking",12,"delayed previously","repairs",">=1000",">=7",4,"no known property",55,"none",2
"<0",24,"existing paid","new car","no known savings","4<=X<7",4,"no known property",32,"none",2
">=200",6,"critical/other existing credit","new car","<100","1<=X<4",1,"real estate",74,"none",1
">=200",15,"critical/other existing credit","radio/tv","no known savings","1<=X<4",3,"no known property",39,"none",2
"no checking",24,"existing paid","new car","<100","1<=X<4",2,"real estate",31,"none",1
"<0",12,"critical/other existing credit","new car","<100",">=7",4,"life insurance",35,"none",2
"no checking",15,"critical/other existing credit","new car","no known savings",">=7",1,"car",59,"none",1
"<0",18,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"real estate",24,"none",2
"<0",12,"existing paid","radio/tv","<100","1<=X<4",4,"life insurance",24,"none",1
"no checking",21,"critical/other existing credit","new car","no known savings",">=7",4,"no known property",30,"none",2
"no checking",24,"critical/other existing credit","new car","100<=X<500","4<=X<7",4,"life insurance",27,"none",1
"0<=X<200",12,"existing paid","radio/tv","<100",">=7",3,"real estate",40,"bank",1
"<0",30,"existing paid","furniture/equipment","<100","<1",2,"life insurance",31,"none",2
"no checking",10,"existing paid","used car","no known savings","<1",1,"real estate",31,"none",1
"0<=X<200",12,"critical/other existing credit","furniture/equipment","<100",">=7",1,"car",28,"none",1
"no checking",12,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate",63,"none",1
"<0",24,"existing paid","used car","no known savings",">=7",2,"real estate",26,"none",1
"<0",36,"critical/other existing credit","education","<100","1<=X<4",3,"no known property",25,"none",2
"no checking",21,"critical/other existing credit","used car","<100",">=7",1,"car",36,"none",1
"no checking",24,"critical/other existing credit","radio/tv","100<=X<500",">=7",4,"life insurance",52,"bank",1
">=200",12,"critical/other existing credit","new car","500<=X<1000","unemployed",2,"no known property",66,"bank",1
"<0",24,"existing paid","new car","no known savings","1<=X<4",4,"real estate",25,"none",2
"no checking",36,"critical/other existing credit","new car","<100","4<=X<7",4,"car",37,"none",1
"<0",18,"existing paid","radio/tv","<100","4<=X<7",4,"real estate",25,"none",1
"no checking",36,"critical/other existing credit","used car",">=1000",">=7",4,"car",38,"none",1
"0<=X<200",18,"existing paid","repairs","<100","unemployed",2,"car",67,"none",1
"0<=X<200",39,"critical/other existing credit","radio/tv","<100","4<=X<7",2,"real estate",25,"none",2
"no checking",24,"critical/other existing credit","new car",">=1000",">=7",4,"real estate",60,"none",1
"0<=X<200",12,"no credits/all paid","retraining","<100","1<=X<4",2,"real estate",31,"none",1
"0<=X<200",12,"existing paid","new car","100<=X<500","<1",4,"life insurance",23,"bank",2
"0<=X<200",20,"existing paid","used car","no known savings","unemployed",1,"real estate",60,"none",1
"0<=X<200",18,"existing paid","business",">=1000","1<=X<4",4,"life insurance",35,"none",1
"no checking",22,"existing paid","radio/tv","500<=X<1000",">=7",3,"car",40,"none",1
"no checking",48,"critical/other existing credit","used car","no known savings",">=7",4,"car",38,"none",1
"0<=X<200",48,"delayed previously","education","<100",">=7",4,"no known property",50,"none",2
"<0",40,"critical/other existing credit","education","<100","1<=X<4",4,"no known property",27,"bank",2
"0<=X<200",21,"existing paid","business","<100",">=7",2,"life insurance",39,"none",2
"no checking",24,"existing paid","used car","no known savings",">=7",3,"car",41,"none",1
"no checking",6,"critical/other existing credit","furniture/equipment","no known savings","1<=X<4",1,"life insurance",27,"none",1
">=200",24,"existing paid","furniture/equipment","<100",">=7",3,"no known property",51,"none",1
"no checking",24,"existing paid","furniture/equipment","500<=X<1000",">=7",4,"no known property",32,"none",1
"no checking",9,"existing paid","furniture/equipment","100<=X<500","<1",2,"life insurance",22,"none",1
"<0",18,"existing paid","used car","no known savings",">=7",1,"life insurance",51,"none",2
"no checking",12,"critical/other existing credit","furniture/equipment","<100","<1",2,"life insurance",22,"none",1
"no checking",24,"delayed previously","new car","no known savings",">=7",4,"car",54,"none",1
"0<=X<200",9,"existing paid","new car","no known savings","<1",4,"real estate",35,"none",1
"no checking",24,"critical/other existing credit","education","<100",">=7",4,"no known property",54,"none",1
"0<=X<200",18,"critical/other existing credit","radio/tv","<100",">=7",3,"real estate",48,"bank",1
"<0",20,"critical/other existing credit","furniture/equipment","<100",">=7",1,"life insurance",24,"none",1
"no checking",12,"critical/other existing credit","radio/tv","no known savings",">=7",4,"car",35,"none",1
"0<=X<200",12,"existing paid","new car","no known savings","unemployed",1,"real estate",24,"none",1
"<0",36,"existing paid","new car","<100","4<=X<7",2,"car",24,"none",2
"0<=X<200",6,"existing paid","radio/tv","<100","<1",3,"real estate",26,"none",1
"no checking",12,"critical/other existing credit","radio/tv","no known savings",">=7",4,"real estate",65,"none",1
"0<=X<200",42,"all paid","used car","<100","unemployed",1,"no known property",55,"bank",1
"0<=X<200",15,"no credits/all paid","new car","<100","<1",2,"real estate",26,"none",2
"0<=X<200",8,"existing paid","business","<100","<1",3,"real estate",26,"none",1
"0<=X<200",6,"existing paid","radio/tv","<100","4<=X<7",3,"real estate",28,"bank",1
"<0",36,"critical/other existing credit","used car","<100","4<=X<7",4,"car",24,"none",2
"<0",48,"existing paid","domestic appliance","<100","1<=X<4",3,"car",54,"none",2
"<0",48,"existing paid","new car","<100","4<=X<7",4,"no known property",46,"none",2
"0<=X<200",36,"delayed previously","new car","<100","1<=X<4",2,"life insurance",54,"none",1
"no checking",6,"existing paid","domestic appliance","500<=X<1000","1<=X<4",1,"real estate",62,"none",1
"no checking",6,"critical/other existing credit","radio/tv","<100","4<=X<7",1,"car",24,"none",1
"<0",36,"existing paid","other","<100","unemployed",2,"car",43,"none",1
"<0",18,"existing paid","radio/tv","<100","1<=X<4",4,"real estate",26,"bank",2
"no checking",12,"existing paid","new car","<100","1<=X<4",3,"real estate",27,"none",1
">=200",12,"existing paid","radio/tv","<100","1<=X<4",3,"car",24,"none",1
"<0",36,"existing paid","furniture/equipment","<100",">=7",2,"life insurance",41,"bank",2
"<0",8,"critical/other existing credit","new car","<100",">=7",4,"real estate",47,"none",1
"no checking",18,"critical/other existing credit","furniture/equipment","<100","<1",3,"car",35,"none",1
"<0",21,"critical/other existing credit","new car","<100",">=7",4,"car",30,"none",1
"<0",18,"critical/other existing credit","new car","<100",">=7",1,"real estate",33,"bank",2
"no checking",18,"no credits/all paid","business","<100","1<=X<4",2,"car",36,"stores",2
"<0",36,"existing paid","used car","no known savings",">=7",3,"no known property",47,"none",2
"0<=X<200",48,"delayed previously","business","no known savings","1<=X<4",4,"no known property",38,"none",1
"no checking",24,"delayed previously","business","500<=X<1000","1<=X<4",4,"car",44,"none",1
"<0",18,"existing paid","new car","<100","<1",4,"car",23,"none",2
"<0",45,"no credits/all paid","business","<100",">=7",2,"car",29,"none",2
"0<=X<200",24,"existing paid","radio/tv","no known savings",">=7",2,"car",42,"none",1
">=200",15,"existing paid","radio/tv","<100","<1",2,"real estate",25,"none",2
"<0",12,"no credits/all paid","new car","<100","1<=X<4",4,"car",48,"bank",2
"no checking",12,"existing paid","radio/tv","no known savings","1<=X<4",4,"car",21,"none",1
"no checking",4,"existing paid","furniture/equipment","<100","<1",1,"real estate",23,"none",1
"<0",24,"critical/other existing credit","used car","<100",">=7",4,"life insurance",63,"none",1
"no checking",24,"critical/other existing credit","radio/tv","<100",">=7",4,"real estate",46,"none",1
"<0",36,"existing paid","furniture/equipment","<100","4<=X<7",4,"life insurance",29,"none",2
"no checking",21,"delayed previously","used car","<100","1<=X<4",3,"real estate",28,"stores",1
"no checking",18,"existing paid","repairs","<100","<1",4,"real estate",23,"none",2
"no checking",24,"all paid","business","<100","4<=X<7",4,"car",50,"bank",1
"no checking",18,"existing paid","furniture/equipment","<100",">=7",4,"life insurance",47,"bank",1
"0<=X<200",21,"existing paid","furniture/equipment","no known savings","4<=X<7",2,"car",35,"none",1
"no checking",18,"existing paid","new car","no known savings","1<=X<4",2,"car",68,"none",2
"no checking",24,"existing paid","new car","<100","<1",4,"real estate",28,"none",1
"<0",9,"existing paid","radio/tv","<100","4<=X<7",3,"real estate",59,"none",1
"<0",12,"existing paid","radio/tv","<100",">=7",4,"real estate",57,"stores",2
"<0",20,"critical/other existing credit","new car","<100","1<=X<4",4,"life insurance",33,"bank",2
"no checking",24,"critical/other existing credit","used car","no known savings","4<=X<7",3,"life insurance",43,"none",1
"no checking",15,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"no known property",35,"none",1
"<0",18,"all paid","new car","<100","4<=X<7",4,"no known property",32,"none",2
"no checking",36,"delayed previously","new car","<100",">=7",2,"car",45,"none",1
"no checking",24,"existing paid","new car","100<=X<500","<1",4,"real estate",33,"none",1
"no checking",10,"existing paid","retraining","no known savings","4<=X<7",4,"life insurance",40,"none",1
"no checking",15,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"no known property",28,"none",1
"<0",15,"existing paid","new car","<100","1<=X<4",3,"life insurance",29,"none",2
"no checking",9,"existing paid","new car","100<=X<500","1<=X<4",1,"real estate",26,"none",1
"no checking",24,"critical/other existing credit","used car",">=1000","1<=X<4",4,"real estate",27,"none",1
"no checking",18,"delayed previously","business","<100","1<=X<4",4,"car",28,"none",2
"<0",24,"existing paid","radio/tv","<100","<1",4,"real estate",35,"none",2
"no checking",27,"critical/other existing credit","furniture/equipment",">=1000","<1",4,"real estate",32,"stores",1
"no checking",10,"existing paid","furniture/equipment","<100","1<=X<4",2,"real estate",25,"bank",2
"no checking",15,"existing paid","furniture/equipment","500<=X<1000","1<=X<4",2,"car",20,"none",1
"<0",18,"existing paid","radio/tv","<100","<1",4,"car",27,"stores",1
"no checking",12,"critical/other existing credit","furniture/equipment","<100",">=7",2,"life insurance",42,"stores",1
"no checking",36,"existing paid","business","no known savings",">=7",3,"life insurance",37,"none",1
"<0",12,"existing paid","furniture/equipment","<100",">=7",4,"life insurance",24,"none",1
"no checking",36,"delayed previously","furniture/equipment","500<=X<1000","4<=X<7",2,"car",40,"none",1
">=200",6,"critical/other existing credit","new car","<100",">=7",1,"real estate",46,"none",1
"<0",24,"critical/other existing credit","business","100<=X<500","4<=X<7",4,"real estate",26,"none",1
"no checking",15,"existing paid","domestic appliance","no known savings","<1",4,"real estate",24,"none",1
"<0",12,"existing paid","furniture/equipment","<100","1<=X<4",2,"life insurance",29,"none",1
"0<=X<200",11,"critical/other existing credit","new car",">=1000","1<=X<4",4,"car",40,"none",1
"<0",18,"all paid","radio/tv","<100","<1",3,"no known property",36,"bank",1
"no checking",36,"existing paid","radio/tv","<100",">=7",4,"car",28,"none",1
"<0",9,"existing paid","new car","<100","<1",3,"no known property",27,"none",2
"no checking",30,"critical/other existing credit","radio/tv","no known savings","4<=X<7",2,"life insurance",36,"none",1
"no checking",24,"existing paid","used car","<100","4<=X<7",3,"car",38,"none",1
"no checking",24,"existing paid","used car","no known savings","1<=X<4",2,"no known property",48,"none",1
"0<=X<200",30,"critical/other existing credit","new car","no known savings",">=7",4,"real estate",36,"none",1
"no checking",18,"critical/other existing credit","radio/tv","<100","unemployed",4,"car",65,"none",1
"0<=X<200",24,"existing paid","furniture/equipment","<100","4<=X<7",3,"car",43,"none",2
"<0",12,"existing paid","education","<100","<1",4,"life insurance",53,"none",2
"0<=X<200",24,"critical/other existing credit","business","no known savings","4<=X<7",4,"no known property",34,"none",1
"0<=X<200",48,"existing paid","business","<100","1<=X<4",2,"car",23,"none",2
"no checking",36,"critical/other existing credit","new car","<100",">=7",4,"car",34,"none",1
"no checking",28,"all paid","used car","no known savings","<1",3,"real estate",40,"bank",1
"<0",27,"critical/other existing credit","business","<100",">=7",4,"car",43,"stores",1
"no checking",15,"critical/other existing credit","radio/tv","<100",">=7",4,"car",46,"none",1
"<0",12,"critical/other existing credit","new car","<100","1<=X<4",4,"life insurance",38,"bank",1
"0<=X<200",36,"critical/other existing credit","used car","<100","1<=X<4",3,"car",34,"none",1
"no checking",18,"critical/other existing credit","radio/tv","no known savings","1<=X<4",4,"life insurance",29,"none",1
"no checking",36,"delayed previously","used car","no known savings","4<=X<7",3,"car",31,"stores",1
"<0",21,"existing paid","radio/tv","<100","<1",4,"life insurance",28,"none",1
"no checking",12,"critical/other existing credit","furniture/equipment",">=1000","4<=X<7",3,"life insurance",35,"none",1
"no checking",15,"existing paid","furniture/equipment","no known savings","4<=X<7",1,"real estate",33,"bank",1
"<0",18,"existing paid","furniture/equipment","<100","1<=X<4",2,"car",42,"none",2
"<0",16,"critical/other existing credit","new car","<100",">=7",2,"life insurance",43,"bank",2
"no checking",20,"critical/other existing credit","new car","no known savings","<1",2,"real estate",44,"none",1
"no checking",36,"critical/other existing credit","used car","no known savings",">=7",2,"no known property",42,"none",1
"no checking",15,"existing paid","radio/tv","no known savings","1<=X<4",4,"real estate",40,"none",1
"no checking",24,"existing paid","radio/tv","<100",">=7",4,"real estate",36,"none",1
"<0",12,"existing paid","radio/tv","<100","1<=X<4",2,"real estate",20,"none",1
"<0",21,"existing paid","new car","no known savings","4<=X<7",2,"real estate",24,"none",1
"0<=X<200",36,"existing paid","education","no known savings","1<=X<4",2,"car",27,"none",1
"no checking",15,"delayed previously","used car","<100","<1",1,"life insurance",46,"none",1
"0<=X<200",9,"existing paid","new car","no known savings","1<=X<4",1,"real estate",33,"none",1
"no checking",36,"delayed previously","radio/tv","<100","1<=X<4",4,"real estate",34,"none",1
"0<=X<200",24,"critical/other existing credit","furniture/equipment","<100","<1",2,"car",25,"bank",2
"0<=X<200",30,"existing paid","radio/tv","no known savings",">=7",2,"car",25,"none",1
"no checking",11,"existing paid","business",">=1000",">=7",1,"real estate",28,"none",1
"<0",24,"all paid","business","<100","1<=X<4",4,"life insurance",31,"none",2
"0<=X<200",48,"no credits/all paid","other","<100","1<=X<4",1,"life insurance",32,"bank",2
"no checking",10,"existing paid","used car","100<=X<500","1<=X<4",1,"real estate",32,"none",1
"<0",6,"existing paid","new car","<100",">=7",1,"no known property",68,"bank",2
"<0",24,"existing paid","furniture/equipment","100<=X<500","unemployed",1,"life insurance",33,"none",2
"<0",24,"existing paid","furniture/equipment","<100",">=7",4,"life insurance",39,"none",2
"no checking",18,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"no known property",28,"none",1
"no checking",48,"delayed previously","radio/tv","500<=X<1000","4<=X<7",4,"car",37,"none",1
"<0",9,"existing paid","radio/tv","<100","<1",3,"life insurance",22,"none",2
"0<=X<200",12,"existing paid","new car","<100","4<=X<7",3,"life insurance",30,"none",1
"<0",24,"all paid","furniture/equipment","<100","<1",2,"life insurance",55,"bank",2
"<0",12,"all paid","new car","<100","<1",4,"car",46,"bank",2
"<0",18,"critical/other existing credit","furniture/equipment","<100","<1",4,"life insurance",21,"none",1
"<0",48,"existing paid","used car","<100","4<=X<7",4,"no known property",39,"stores",2
"no checking",30,"existing paid","radio/tv","no known savings",">=7",4,"car",58,"none",1
"<0",12,"delayed previously","new car","<100","1<=X<4",4,"real estate",43,"none",1
"<0",24,"existing paid","furniture/equipment","<100","<1",4,"life insurance",24,"none",1
"0<=X<200",9,"existing paid","radio/tv","<100","<1",4,"car",22,"none",2
"no checking",9,"critical/other existing credit","new car","<100","1<=X<4",3,"real estate",30,"none",1
"no checking",12,"critical/other existing credit","radio/tv","500<=X<1000",">=7",4,"life insurance",42,"none",1
"<0",12,"existing paid","radio/tv","<100","1<=X<4",4,"car",23,"bank",1
"0<=X<200",30,"delayed previously","radio/tv","100<=X<500","<1",4,"no known property",30,"stores",2
">=200",9,"existing paid","radio/tv","<100","1<=X<4",3,"real estate",28,"none",2
"0<=X<200",6,"existing paid","radio/tv","<100","<1",4,"car",30,"none",1
"0<=X<200",60,"existing paid","education","<100","1<=X<4",4,"no known property",42,"none",2
"no checking",24,"critical/other existing credit","used car","no known savings","1<=X<4",2,"life insurance",46,"none",1
"no checking",12,"existing paid","new car","no known savings","<1",2,"life insurance",45,"none",1
"no checking",10,"existing paid","new car","<100","1<=X<4",3,"real estate",31,"none",1
"no checking",24,"existing paid","furniture/equipment","no known savings","4<=X<7",4,"car",31,"stores",1
"no checking",4,"critical/other existing credit","new car","<100","4<=X<7",2,"real estate",42,"none",1
"<0",15,"existing paid","furniture/equipment","<100","<1",4,"life insurance",46,"none",1
"0<=X<200",48,"no credits/all paid","new car","500<=X<1000","<1",1,"car",30,"none",1
"<0",24,"all paid","furniture/equipment","500<=X<1000","<1",4,"no known property",30,"none",2
"no checking",12,"existing paid","new car","no known savings","unemployed",4,"no known property",38,"none",1
"no checking",18,"existing paid","furniture/equipment","<100","<1",4,"life insurance",43,"none",2
"no checking",24,"existing paid","radio/tv","100<=X<500",">=7",2,"car",31,"none",2
"0<=X<200",18,"critical/other existing credit","business","<100","unemployed",3,"car",40,"none",1
"<0",36,"delayed previously","business","<100","4<=X<7",2,"car",24,"none",2
"0<=X<200",24,"existing paid","used car","500<=X<1000","<1",3,"car",28,"none",2
"no checking",36,"existing paid","furniture/equipment","<100","unemployed",4,"car",26,"none",2
"<0",12,"existing paid","new car","<100","1<=X<4",4,"life insurance",29,"none",1
"<0",24,"critical/other existing credit","radio/tv",">=1000",">=7",4,"life insurance",57,"none",1
">=200",30,"critical/other existing credit","radio/tv","no known savings",">=7",4,"life insurance",49,"stores",1
"0<=X<200",9,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate",37,"none",1
"<0",28,"existing paid","new car","<100","1<=X<4",3,"car",45,"none",2
"0<=X<200",24,"existing paid","furniture/equipment","100<=X<500",">=7",4,"no known property",30,"none",1
"no checking",6,"critical/other existing credit","radio/tv","<100",">=7",2,"real estate",30,"none",1
"0<=X<200",21,"delayed previously","new car","<100","1<=X<4",1,"life insurance",47,"none",1
"no checking",15,"existing paid","new car","no known savings","1<=X<4",3,"no known property",29,"none",1
"no checking",24,"existing paid","radio/tv","500<=X<1000",">=7",3,"car",35,"bank",2
"0<=X<200",6,"existing paid","repairs","<100","<1",3,"life insurance",22,"none",1
"0<=X<200",30,"existing paid","radio/tv","no known savings","1<=X<4",4,"car",26,"none",1
"0<=X<200",27,"critical/other existing credit","radio/tv","500<=X<1000","1<=X<4",4,"life insurance",23,"none",2
"no checking",15,"existing paid","radio/tv","<100",">=7",4,"car",54,"bank",1
"no checking",42,"existing paid","radio/tv","no known savings","4<=X<7",2,"life insurance",29,"none",1
"<0",11,"critical/other existing credit","new car","<100","1<=X<4",1,"real estate",40,"none",1
"0<=X<200",15,"existing paid","repairs","100<=X<500","1<=X<4",4,"real estate",22,"none",1
"no checking",24,"existing paid","new car","<100","1<=X<4",1,"life insurance",43,"none",1
"<0",24,"all paid","new car","<100","unemployed",1,"no known property",29,"none",2
"<0",60,"existing paid","business","<100",">=7",4,"no known property",36,"none",2
"no checking",30,"critical/other existing credit","radio/tv","<100","1<=X<4",4,"car",33,"none",1
">=200",24,"existing paid","radio/tv","500<=X<1000","1<=X<4",3,"car",57,"none",1
"0<=X<200",6,"existing paid","radio/tv","<100","1<=X<4",2,"real estate",64,"none",1
"0<=X<200",18,"delayed previously","business","no known savings",">=7",4,"life insurance",42,"none",1
"no checking",24,"delayed previously","new car","<100",">=7",4,"car",47,"none",2
"0<=X<200",15,"all paid","new car","100<=X<500","1<=X<4",2,"life insurance",25,"none",2
"0<=X<200",30,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance",49,"none",2
"no checking",48,"existing paid","business","<100","unemployed",3,"car",33,"bank",2
">=200",21,"existing paid","new car","100<=X<500","1<=X<4",1,"car",28,"bank",1
"<0",36,"existing paid","used car","<100","1<=X<4",2,"life insurance",26,"none",2
"no checking",24,"critical/other existing credit","furniture/equipment","<100","4<=X<7",2,"life insurance",30,"none",1
"<0",15,"critical/other existing credit","furniture/equipment","<100","1<=X<4",4,"life insurance",25,"none",1
">=200",42,"no credits/all paid","business","<100","<1",2,"life insurance",33,"none",1
"no checking",13,"existing paid","radio/tv","100<=X<500","unemployed",2,"real estate",64,"none",1
"<0",24,"existing paid","used car","<100","unemployed",4,"no known property",29,"none",1
"0<=X<200",24,"critical/other existing credit","radio/tv","<100",">=7",4,"life insurance",48,"none",1
"no checking",12,"critical/other existing credit","education","no known savings","<1",2,"life insurance",37,"none",1
"no checking",15,"all paid","radio/tv","100<=X<500",">=7",4,"car",34,"bank",1
"<0",18,"existing paid","radio/tv","no known savings","4<=X<7",2,"car",23,"none",1
"<0",36,"existing paid","furniture/equipment","<100","unemployed",4,"life insurance",30,"none",1
"no checking",12,"existing paid","new car","no known savings",">=7",4,"car",50,"none",1
"no checking",12,"existing paid","furniture/equipment","<100","4<=X<7",3,"real estate",31,"none",1
"<0",30,"existing paid","used car","<100","1<=X<4",4,"life insurance",40,"none",1
"no checking",12,"existing paid","radio/tv","<100",">=7",4,"car",38,"none",1
"<0",45,"existing paid","radio/tv","<100","1<=X<4",4,"no known property",23,"none",2
"0<=X<200",45,"critical/other existing credit","used car","100<=X<500","unemployed",3,"car",27,"none",1
